# Corrected for radial velocity of 20.55 km/s
# 
# star name zetOri, line HALPHA
# instrument: HERMES spectrograph @Mercator
# date of observation (midpoint)2018-10-15T01:01:48.581460
# BJD of observation (midpoint)2458406.5453007
# name of fits file: 00898143_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits
# 
# wavelength(Angstrom,air) normalised_flux
6.537563753249107322e+03 9.995812736684623889e-01
6.537597751972178230e+03 1.002739219568808515e+00
6.537631750872058547e+03 9.952301496805835423e-01
6.537665749948750999e+03 1.000722912325588299e+00
6.537699749202255589e+03 9.983404932556889655e-01
6.537733748632575043e+03 9.956405891377941852e-01
6.537767748239709363e+03 9.932839808468895137e-01
6.537801748023658547e+03 9.976923599619652583e-01
6.537835747984424415e+03 1.004335181850251502e+00
6.537869748122007877e+03 1.005688468070465635e+00
6.537903748436409842e+03 1.004086319051729292e+00
6.537937748927631219e+03 1.000208229262372406e+00
6.537971749595672918e+03 1.002350278448272070e+00
6.538005750440534939e+03 1.002379907277378468e+00
6.538039751462219101e+03 1.001054334564800197e+00
6.538073752660725404e+03 1.001477056975900837e+00
6.538107754036057486e+03 1.002784028021780127e+00
6.538141755588213528e+03 9.929046886675729766e-01
6.538175757317194439e+03 9.992058715718475925e-01
6.538209759223003857e+03 9.991776285726742257e-01
6.538243761305639055e+03 1.000333565226378729e+00
6.538277763565102759e+03 1.000074852892375521e+00
6.538311766001397700e+03 9.952512242210972415e-01
6.538345768614521148e+03 9.981088690027384303e-01
6.538379771404475832e+03 1.002776016889103117e+00
6.538413774371264481e+03 1.000037456422539828e+00
6.538447777514884365e+03 1.004198131798671900e+00
6.538481780835338213e+03 1.004570222535205781e+00
6.538515784332627845e+03 9.987814553389192662e-01
6.538549788006753261e+03 9.940269365554886827e-01
6.538583791857715369e+03 9.953974787834651838e-01
6.538617795885515079e+03 9.943996347683650150e-01
6.538651800090153301e+03 1.000202876385033690e+00
6.538685804471630945e+03 1.002709842731703160e+00
6.538719809029948919e+03 1.000000928027623859e+00
6.538753813765108134e+03 1.008472978407531473e+00
6.538787818677110408e+03 1.003927592188172957e+00
6.538821823765954832e+03 9.979221780322801161e-01
6.538855829031643225e+03 9.993909642052047904e-01
6.538889834474178315e+03 1.005096805916377845e+00
6.538923840093558283e+03 1.006009970937456144e+00
6.538957845889784949e+03 9.982876621009960649e-01
6.538991851862859221e+03 9.985538060953488282e-01
6.539025858012782919e+03 9.996316776623046518e-01
6.539059864339556043e+03 1.001848738900260605e+00
6.539093870843179502e+03 1.006004931883060616e+00
6.539127877523654206e+03 1.003477482011459809e+00
6.539161884380981064e+03 1.001458358470613152e+00
6.539195891415161896e+03 1.007027041776822562e+00
6.539229898626196700e+03 1.005106129450415109e+00
6.539263906014087297e+03 1.003287374608620608e+00
6.539297913578832777e+03 1.009672880009554241e+00
6.539331921320435868e+03 1.005941056567762670e+00
6.539365929238897479e+03 9.966179888364482542e-01
6.539399937334216702e+03 1.001025628931339062e+00
6.539433945606396264e+03 1.004626516065217245e+00
6.539467954055436167e+03 9.979656148280422467e-01
6.539501962681338227e+03 9.956124709095595104e-01
6.539535971484102447e+03 9.934259846126507476e-01
6.539569980463729735e+03 9.921190033064777314e-01
6.539603989620221910e+03 9.902819145352828034e-01
6.539637998953578972e+03 9.952741195950881581e-01
6.539672008463802740e+03 9.983824325070735917e-01
6.539706018150893215e+03 9.978864297064159450e-01
6.539740028014852214e+03 9.995263923711792398e-01
6.539774038055679739e+03 9.993660061472429135e-01
6.539808048273376698e+03 1.001342181682695731e+00
6.539842058667944002e+03 9.926960798537867170e-01
6.539876069239384378e+03 9.903212929482659854e-01
6.539910079987696918e+03 9.963998498710606722e-01
6.539944090912883439e+03 9.997442898188860783e-01
6.539978102014943033e+03 9.981210824393235148e-01
6.540012113293879338e+03 1.001233931528610288e+00
6.540046124749690534e+03 1.006552696601183516e+00
6.540080136382380260e+03 1.001825901702679156e+00
6.540114148191947606e+03 9.994710484185801436e-01
6.540148160178394392e+03 9.946505562907423936e-01
6.540182172341720616e+03 9.971594707544277902e-01
6.540216184681928098e+03 1.001544392156660024e+00
6.540250197199016839e+03 1.000004534807235723e+00
6.540284209892988656e+03 1.000081549353708299e+00
6.540318222763844460e+03 1.001845956888601119e+00
6.540352235811584251e+03 9.978790566560197250e-01
6.540386249036209847e+03 9.966265216640933788e-01
6.540420262437722158e+03 9.943813659023901241e-01
6.540454276016121185e+03 9.934962672886723523e-01
6.540488289771408745e+03 9.942138021839271866e-01
6.540522303703585749e+03 9.828908096104032044e-01
6.540556317812653106e+03 9.831854469311009925e-01
6.540590332098610816e+03 9.927932671085838434e-01
6.540624346561460698e+03 9.905688549297654300e-01
6.540658361201202752e+03 9.912949240278174923e-01
6.540692376017838797e+03 1.007014124453197379e+00
6.540726391011369742e+03 9.984762861173911430e-01
6.540760406181797407e+03 1.000518551240878073e+00
6.540794421529120882e+03 1.002407118858366086e+00
6.540828437053341077e+03 1.002324916140917122e+00
6.540862452754459810e+03 1.000755927767992048e+00
6.540896468632478900e+03 9.993586237067513256e-01
6.540930484687396529e+03 1.001345376193631731e+00
6.540964500919217244e+03 1.006527529708511892e+00
6.540998517327938316e+03 1.000793192783993923e+00
6.541032533913563384e+03 1.004100194313534811e+00
6.541066550676091538e+03 1.007605013909930847e+00
6.541100567615526415e+03 1.004017871440082477e+00
6.541134584731865289e+03 1.000661211529825678e+00
6.541168602025110886e+03 1.001019928806575754e+00
6.541202619495264116e+03 1.003981368279523112e+00
6.541236637142325890e+03 1.006138292834615200e+00
6.541270654966298025e+03 9.982608569333627502e-01
6.541304672967179613e+03 1.010597102597158514e+00
6.541338691144972472e+03 1.002140511650701171e+00
6.541372709499676603e+03 1.002451862384356129e+00
6.541406728031294733e+03 1.008612198927630876e+00
6.541440746739827773e+03 1.009903857897991308e+00
6.541474765625274813e+03 1.007373956695409856e+00
6.541508784687637672e+03 1.002250421106015921e+00
6.541542803926917259e+03 9.940095585549643120e-01
6.541576823343114484e+03 1.001405020134832347e+00
6.541610842936230256e+03 1.002421918101307208e+00
6.541644862706266395e+03 1.001297457226558496e+00
6.541678882653222900e+03 1.006310942739679914e+00
6.541712902777099771e+03 1.010485064315006287e+00
6.541746923077899737e+03 1.004835887225736579e+00
6.541780943555622798e+03 1.000551873623562793e+00
6.541814964210268954e+03 1.004442611142152719e+00
6.541848985041841843e+03 9.986680201545100610e-01
6.541883006050340555e+03 1.009819664385042337e+00
6.541917027235765090e+03 1.008074980736620052e+00
6.541951048598117268e+03 1.007763551071706232e+00
6.541985070137398907e+03 9.971958747638262066e-01
6.542019091853610007e+03 9.916391198883585112e-01
6.542053113746752388e+03 9.984992391156192193e-01
6.542087135816825139e+03 1.001671648061771558e+00
6.542121158063830080e+03 9.956207459465538090e-01
6.542155180487769940e+03 9.939245931083502406e-01
6.542189203088642898e+03 9.903427131140017936e-01
6.542223225866451685e+03 9.865298214587210346e-01
6.542257248821196299e+03 9.811308441285528925e-01
6.542291271952877651e+03 9.773711551841252065e-01
6.542325295261496649e+03 9.591081512392709563e-01
6.542359318747055113e+03 9.176629863265336473e-01
6.542393342409553043e+03 8.907868245765354631e-01
6.542427366248992257e+03 9.201838177152591447e-01
6.542461390265372756e+03 9.650902395432482406e-01
6.542495414458695450e+03 9.813166443974018494e-01
6.542529438828962157e+03 9.949281185540795880e-01
6.542563463376172876e+03 9.975041830398894138e-01
6.542597488100328519e+03 1.001796473537158505e+00
6.542631513001430903e+03 1.004281009571153627e+00
6.542665538079480939e+03 1.001206850203527399e+00
6.542699563334477716e+03 1.001334613513644722e+00
6.542733588766423964e+03 1.000482127995835802e+00
6.542767614375320591e+03 1.000119955250671211e+00
6.542801640161167597e+03 1.005858066338624734e+00
6.542835666123966803e+03 1.000838577171625499e+00
6.542869692263718207e+03 1.001525329344420401e+00
6.542903718580423629e+03 9.996594390769681926e-01
6.542937745074083978e+03 9.986201981414947193e-01
6.542971771744698344e+03 1.001326898315223701e+00
6.543005798592270366e+03 9.936898221240796358e-01
6.543039825616799135e+03 9.834365470727819414e-01
6.543073852818284649e+03 9.886015737167277440e-01
6.543107880196731458e+03 9.921845429571565234e-01
6.543141907752137740e+03 9.942818002476073724e-01
6.543175935484503498e+03 9.960781524815676136e-01
6.543209963393833277e+03 1.000582640865323114e+00
6.543243991480124350e+03 1.003387477036647324e+00
6.543278019743379446e+03 1.000699852150571889e+00
6.543312048183599472e+03 9.982948138202383248e-01
6.543346076800785340e+03 9.988641962649699169e-01
6.543380105594936140e+03 9.942535350680141715e-01
6.543414134566056418e+03 9.977874383622791221e-01
6.543448163714144357e+03 1.004153527910956356e+00
6.543482193039199956e+03 1.002099349958731178e+00
6.543516222541227762e+03 9.986890801838838039e-01
6.543550252220225957e+03 9.986743621025321316e-01
6.543584282076195450e+03 1.000638271675991398e+00
6.543618312109138060e+03 1.004475408587535146e+00
6.543652342319054696e+03 9.973402759150025165e-01
6.543686372705946269e+03 1.001019880601421441e+00
6.543720403269813687e+03 9.960349660177381104e-01
6.543754434010656951e+03 9.901287905513060927e-01
6.543788464928478788e+03 9.838851120886562551e-01
6.543822496023278291e+03 9.794171255979191582e-01
6.543856527295057276e+03 9.732108562937697993e-01
6.543890558743815745e+03 9.431568241486240067e-01
6.543924590369557336e+03 8.617535071023412208e-01
6.543958622172280229e+03 7.374541177850985063e-01
6.543992654151985334e+03 6.841397300991870489e-01
6.544026686308674471e+03 7.708327795369498414e-01
6.544060718642349457e+03 8.836301242882617091e-01
6.544094751153009383e+03 9.526448001896709039e-01
6.544128783840656070e+03 9.773209070864710135e-01
6.544162816705291334e+03 9.847930160170079716e-01
6.544196849746913358e+03 9.896799912681120137e-01
6.544230882965525780e+03 9.898234923916970907e-01
6.544264916361129508e+03 9.900999515244435223e-01
6.544298949933723634e+03 9.938887861020683223e-01
6.544332983683310886e+03 9.968369577256953606e-01
6.544367017609890354e+03 9.946111274342070985e-01
6.544401051713463858e+03 9.979214508380589432e-01
