# Corrected for radial velocity of 20.55 km/s
# 
# star name zetOri, line HALPHA
# instrument: HERMES spectrograph @Mercator
# date of observation (midpoint)2018-10-11T02:39:06.751700
# BJD of observation (midpoint)2458402.6125531
# name of fits file: 00897625_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits
# 
# wavelength(Angstrom,air) normalised_flux
6.537563753249107322e+03 9.975126594020514714e-01
6.537597751972178230e+03 9.981447880489617841e-01
6.537631750872058547e+03 9.976183243412253265e-01
6.537665749948750999e+03 9.955564123275050248e-01
6.537699749202255589e+03 9.965300385463906618e-01
6.537733748632575043e+03 1.000292041928968922e+00
6.537767748239709363e+03 1.001711610247708384e+00
6.537801748023658547e+03 9.993482843120293779e-01
6.537835747984424415e+03 9.980413560918115490e-01
6.537869748122007877e+03 9.973608287006411333e-01
6.537903748436409842e+03 1.002196740043743706e+00
6.537937748927631219e+03 1.006412673399933677e+00
6.537971749595672918e+03 1.004597007599690173e+00
6.538005750440534939e+03 1.005920647736231022e+00
6.538039751462219101e+03 9.978096641743392503e-01
6.538073752660725404e+03 1.001586542319721662e+00
6.538107754036057486e+03 1.000427451957761393e+00
6.538141755588213528e+03 1.000815498590180264e+00
6.538175757317194439e+03 1.002067911608092610e+00
6.538209759223003857e+03 1.002231621132273931e+00
6.538243761305639055e+03 1.001484692432637269e+00
6.538277763565102759e+03 1.000796220938497072e+00
6.538311766001397700e+03 9.963202031230826705e-01
6.538345768614521148e+03 9.987132696839472468e-01
6.538379771404475832e+03 9.993197828153043138e-01
6.538413774371264481e+03 9.975039314108189448e-01
6.538447777514884365e+03 1.001078169825296404e+00
6.538481780835338213e+03 1.001371663224743136e+00
6.538515784332627845e+03 9.954574089741656806e-01
6.538549788006753261e+03 9.979985185538833292e-01
6.538583791857715369e+03 1.003902219451625166e+00
6.538617795885515079e+03 9.982192827993683348e-01
6.538651800090153301e+03 9.999505252506039055e-01
6.538685804471630945e+03 1.001917028966038403e+00
6.538719809029948919e+03 1.003811071488159845e+00
6.538753813765108134e+03 1.000281524675671996e+00
6.538787818677110408e+03 9.978336762612418642e-01
6.538821823765954832e+03 1.004236584815814570e+00
6.538855829031643225e+03 1.000742523800439931e+00
6.538889834474178315e+03 9.989781892217790560e-01
6.538923840093558283e+03 9.983932979663556750e-01
6.538957845889784949e+03 9.985632546560162526e-01
6.538991851862859221e+03 1.000589092299926097e+00
6.539025858012782919e+03 1.000652354781569553e+00
6.539059864339556043e+03 9.991871682755143480e-01
6.539093870843179502e+03 9.961900429394979772e-01
6.539127877523654206e+03 9.958635188243459835e-01
6.539161884380981064e+03 1.002331133123480544e+00
6.539195891415161896e+03 1.002168638236118570e+00
6.539229898626196700e+03 1.002929781121505215e+00
6.539263906014087297e+03 1.000674387368059248e+00
6.539297913578832777e+03 9.965606705284816291e-01
6.539331921320435868e+03 9.981226797446954846e-01
6.539365929238897479e+03 9.998466444648244078e-01
6.539399937334216702e+03 9.986186385526091280e-01
6.539433945606396264e+03 1.004986803204291901e+00
6.539467954055436167e+03 1.002379321015828939e+00
6.539501962681338227e+03 9.978691851094128040e-01
6.539535971484102447e+03 9.977235723976078940e-01
6.539569980463729735e+03 9.994587664426684004e-01
6.539603989620221910e+03 9.965019649970469073e-01
6.539637998953578972e+03 9.995414108707670886e-01
6.539672008463802740e+03 1.002222507551574493e+00
6.539706018150893215e+03 9.917730314740247355e-01
6.539740028014852214e+03 1.001515523452503942e+00
6.539774038055679739e+03 9.976759888018561506e-01
6.539808048273376698e+03 9.925693484883353346e-01
6.539842058667944002e+03 9.953602821236937626e-01
6.539876069239384378e+03 1.000912354394221548e+00
6.539910079987696918e+03 9.993499169007227234e-01
6.539944090912883439e+03 9.963161846558501455e-01
6.539978102014943033e+03 9.976575062659081006e-01
6.540012113293879338e+03 9.961156196519963535e-01
6.540046124749690534e+03 1.001751627414777301e+00
6.540080136382380260e+03 1.003819597187438850e+00
6.540114148191947606e+03 1.000698109110917500e+00
6.540148160178394392e+03 1.002619055083201927e+00
6.540182172341720616e+03 1.005237196134749267e+00
6.540216184681928098e+03 1.004561150647584222e+00
6.540250197199016839e+03 1.003520912619848771e+00
6.540284209892988656e+03 1.001691573721953388e+00
6.540318222763844460e+03 1.004285094178997584e+00
6.540352235811584251e+03 9.988655009721791878e-01
6.540386249036209847e+03 9.988036104385880076e-01
6.540420262437722158e+03 1.001739791252510114e+00
6.540454276016121185e+03 1.002246535312586673e+00
6.540488289771408745e+03 1.000857715046060914e+00
6.540522303703585749e+03 9.958457550588842855e-01
6.540556317812653106e+03 9.932318644178429468e-01
6.540590332098610816e+03 9.971916000663969548e-01
6.540624346561460698e+03 1.000970795330948571e+00
6.540658361201202752e+03 1.000688043035613317e+00
6.540692376017838797e+03 1.001211567573307981e+00
6.540726391011369742e+03 1.003838136850611296e+00
6.540760406181797407e+03 1.001278317457514389e+00
6.540794421529120882e+03 9.979220662537322539e-01
