# Corrected for radial velocity of 20.55 km/s
# 
# star name zetOri, line BETA
# instrument: HERMES spectrograph @Mercator
# date of observation (midpoint)2018-10-12T04:43:02.012206
# BJD of observation (midpoint)2458403.6986985
# name of fits file: 00897763_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits
# 
# wavelength(Angstrom,air) normalised_flux
4.799686287101842936e+03 1.003424180488072137e+00
4.799711247960512082e+03 1.002144890458873894e+00
4.799736208948993408e+03 1.004109338717223965e+00
4.799761170067283274e+03 1.008195766657661085e+00
4.799786131315384409e+03 1.005861910442358731e+00
4.799811092693296814e+03 1.004704365785941578e+00
4.799836054201021398e+03 1.006740532062825988e+00
4.799861015838559069e+03 1.008208733642573129e+00
4.799885977605910739e+03 1.005715741249213924e+00
4.799910939503074587e+03 9.975926198475076889e-01
4.799935901530055162e+03 1.001003716097380147e+00
4.799960863686850644e+03 1.006955167953151431e+00
4.799985825973461942e+03 9.999590565900692285e-01
4.800010788389890877e+03 1.001354893483618502e+00
4.800035750936136537e+03 9.971537581457304844e-01
4.800060713612200743e+03 9.964006159393287154e-01
4.800085676418083494e+03 1.005409888817083708e+00
4.800110639353785700e+03 1.005351775377992585e+00
4.800135602419309180e+03 1.002181290927203428e+00
4.800160565614652114e+03 1.002319112626193665e+00
4.800185528939817232e+03 9.995406329493805586e-01
4.800210492394804533e+03 9.991591296759925189e-01
4.800235455979614926e+03 1.002308166291308922e+00
4.800260419694249322e+03 1.004514133721720270e+00
4.800285383538706810e+03 1.005920222384458107e+00
4.800310347512990120e+03 1.004953461560257555e+00
4.800335311617099251e+03 1.005706665187092730e+00
4.800360275851033293e+03 1.005740686345119039e+00
4.800385240214795886e+03 9.946722675776313860e-01
4.800410204708386118e+03 9.997410854899555499e-01
4.800435169331803081e+03 1.001115177875935514e+00
4.800460134085050413e+03 1.005383093574693687e+00
4.800485098968127204e+03 1.001877868693450857e+00
4.800510063981034364e+03 9.984185723346855612e-01
4.800535029123771892e+03 9.997537918566191673e-01
4.800559994396341608e+03 1.001921652229015525e+00
4.800584959798743512e+03 1.001520482232117315e+00
4.800609925330978513e+03 1.001625057657089535e+00
4.800634890993047520e+03 1.006129188093113580e+00
4.800659856784950534e+03 1.004904007497096075e+00
4.800684822706689374e+03 9.973668386584900736e-01
4.800709788758262221e+03 9.975535926974322676e-01
4.800734754939673621e+03 1.003987077809932682e+00
4.800759721250920848e+03 1.006673857150993889e+00
4.800784687692005718e+03 1.003313132079902248e+00
4.800809654262929143e+03 1.001551353561194846e+00
4.800834620963692942e+03 1.003908405038267393e+00
4.800859587794295294e+03 9.987566002576268032e-01
4.800884554754738929e+03 1.001382047905011285e+00
4.800909521845022937e+03 1.003338580551003556e+00
4.800934489065148227e+03 9.993583369986438480e-01
4.800959456415117529e+03 1.005506667994899184e+00
4.800984423894929023e+03 1.000427884596137851e+00
4.801009391504585437e+03 1.002671396710894891e+00
4.801034359244084953e+03 1.005762358510847054e+00
4.801059327113430300e+03 1.003284054859409302e+00
4.801084295112621476e+03 9.976777214140465366e-01
4.801109263241659391e+03 9.985003844076181245e-01
4.801134231500544047e+03 1.002405417376615704e+00
4.801159199889277261e+03 9.987526923902227960e-01
4.801184168407858124e+03 1.001803042797108079e+00
4.801209137056289364e+03 1.003557894049837751e+00
4.801234105834570073e+03 1.002753993705320035e+00
4.801259074742701159e+03 9.944033148553051982e-01
4.801284043780683533e+03 1.006224273117015011e+00
4.801309012948518102e+03 1.011785216592364423e+00
4.801333982246205778e+03 1.006098344032965830e+00
4.801358951673745651e+03 1.000318452885262888e+00
4.801383921231139539e+03 1.001091254871216973e+00
4.801408890918388352e+03 1.003639744070877304e+00
4.801433860735492999e+03 1.004372276166132893e+00
4.801458830682453481e+03 1.002808139620042116e+00
4.801483800759270707e+03 1.000809703452661514e+00
4.801508770965944677e+03 1.002754840103335265e+00
4.801533741302477210e+03 1.002900303260048531e+00
4.801558711768869216e+03 1.000574326411886483e+00
4.801583682365119785e+03 1.000498855379837737e+00
4.801608653091229826e+03 1.003919163927384783e+00
4.801633623947201158e+03 1.007664443971471036e+00
4.801658594933033783e+03 9.987668120542788630e-01
4.801683566048727698e+03 1.006580156252131264e+00
4.801708537294285634e+03 1.002492348344315998e+00
4.801733508669706680e+03 9.999422282177075072e-01
4.801758480174991746e+03 1.002336608337954793e+00
4.801783451810141742e+03 1.003398270305310369e+00
4.801808423575156667e+03 9.996243997456877306e-01
4.801833395470037431e+03 1.002349039187821145e+00
4.801858367494786762e+03 1.004527261968047425e+00
4.801883339649401933e+03 1.006040199466483598e+00
4.801908311933886580e+03 1.005060242191512465e+00
4.801933284348238885e+03 1.000918165054638376e+00
4.801958256892460668e+03 1.001697774899767301e+00
4.801983229566552836e+03 1.001876447854088692e+00
4.802008202370517211e+03 1.000281210716348124e+00
4.802033175304351062e+03 1.002882469109876551e+00
4.802058148368058028e+03 9.986526533845601072e-01
4.802083121561639018e+03 9.964683758544758962e-01
4.802108094885092214e+03 1.008661054888844610e+00
4.802133068338420344e+03 1.000759183801673835e+00
4.802158041921621589e+03 9.945267785384415138e-01
4.802183015634699586e+03 1.001567969143026593e+00
4.802207989477655246e+03 1.002998501519180685e+00
4.802232963450485840e+03 9.993071620026677815e-01
4.802257937553195916e+03 1.001955080852416247e+00
4.802282911785781835e+03 1.007630492596836902e+00
4.802307886148248144e+03 1.000409329727184327e+00
4.802332860640594845e+03 9.983430860246277350e-01
4.802357835262821027e+03 1.002880343795257811e+00
4.802382810014928509e+03 9.970554778099822713e-01
4.802407784896917292e+03 9.902548303946924202e-01
4.802432759908788285e+03 9.955795239149357601e-01
4.802457735050542396e+03 9.997868499638042916e-01
4.802482710322180537e+03 9.969214481817415541e-01
4.802507685723702707e+03 9.990106913173257830e-01
4.802532661255109815e+03 1.002635554354915914e+00
4.802557636916403681e+03 9.989968787771091874e-01
4.802582612707582484e+03 9.980489275335339139e-01
4.802607588628649864e+03 1.002429746660769672e+00
4.802632564679603092e+03 9.960464899665403271e-01
4.802657540860445806e+03 1.002171257686582884e+00
4.802682517171178006e+03 9.997536488370092345e-01
4.802707493611799691e+03 1.004168475397450244e+00
4.802732470182311772e+03 1.006689437299082668e+00
4.802757446882714248e+03 9.985288699957874936e-01
4.802782423713008939e+03 9.982761245110147730e-01
4.802807400673197662e+03 1.000112582934190364e+00
4.802832377763277691e+03 1.000919914764805130e+00
4.802857354983252662e+03 9.991826566244704777e-01
4.802882332333121667e+03 9.959324846554096222e-01
4.802907309812885615e+03 9.998763222943757301e-01
4.802932287422544505e+03 1.000552368161809369e+00
4.802957265162101976e+03 9.957138493803241452e-01
4.802982243031555299e+03 9.992599312152020685e-01
4.803007221030906294e+03 9.996765079921473562e-01
4.803032199160156779e+03 9.957281425041888401e-01
4.803057177419306754e+03 9.987762904567588640e-01
4.803082155808355310e+03 9.997130123201808383e-01
4.803107134327305175e+03 9.973393653396745995e-01
4.803132112976156350e+03 9.932749683581206801e-01
4.803157091754908834e+03 9.971271391410624352e-01
4.803182070663565355e+03 1.003909971858330197e+00
4.803207049702123186e+03 9.926113372096625476e-01
4.803232028870586873e+03 9.965007180985819835e-01
4.803257008168953689e+03 9.995733633248256034e-01
4.803281987597226362e+03 9.991806548445927305e-01
4.803306967155405800e+03 1.003256121969138270e+00
4.803331946843491096e+03 9.982329127951660164e-01
4.803356926661484067e+03 9.967867219600080597e-01
4.803381906609384714e+03 1.000785836863123057e+00
4.803406886687194856e+03 9.985879199382265980e-01
4.803431866894913583e+03 9.969638130010011201e-01
4.803456847232542714e+03 1.000534603356720620e+00
4.803481827700082249e+03 1.000547987981232234e+00
4.803506808297533098e+03 9.980861254140049876e-01
4.803531789024896170e+03 1.002481225122932251e+00
4.803556769882172375e+03 9.966995530985021112e-01
4.803581750869360803e+03 9.985065140219031576e-01
4.803606731986464183e+03 9.968697838431853642e-01
4.803631713233481605e+03 9.991164827773224566e-01
4.803656694610415798e+03 9.987170809017767992e-01
4.803681676117264942e+03 1.000334075985386928e+00
4.803706657754031767e+03 1.002022226018611128e+00
4.803731639520715362e+03 9.982969891387056816e-01
4.803756621417317547e+03 1.001677870507541313e+00
4.803781603443839231e+03 9.989299600582332017e-01
4.803806585600278595e+03 9.932185119879558544e-01
4.803831567886639277e+03 9.942227236855807337e-01
4.803856550302921278e+03 9.948780809237572909e-01
4.803881532849123687e+03 9.977959708246015857e-01
4.803906515525249233e+03 9.978673503216719531e-01
4.803931498331297007e+03 9.932051905539461822e-01
4.803956481267268828e+03 9.933666651071230147e-01
