# Corrected for radial velocity of 20.55 km/s
# 
# star name zetOri, line HDELTA
# instrument: HERMES spectrograph @Mercator
# date: AVERAGE of observations from October 2018
# 
# wavelength(Angstrom,air) normalised_flux
4.061730602966967581e+03 9.969230613114252737e-01
4.061751726073245209e+03 9.991273756376276571e-01
4.061772849289373426e+03 1.005542368993431745e+00
4.061793972615353596e+03 1.010123141346932929e+00
4.061815096051185719e+03 9.999859432096300793e-01
4.061836219596871160e+03 9.946355600205889491e-01
4.061857343252409464e+03 9.918084893532392865e-01
4.061878467017801995e+03 9.992301173048483420e-01
4.061899590893048753e+03 9.975621996752453979e-01
4.061920714878151102e+03 1.001161801035150845e+00
4.061941838973108588e+03 9.953295449975491094e-01
4.061962963177922575e+03 9.905684577229407761e-01
4.061984087492593062e+03 1.002860120596608340e+00
4.062005211917121869e+03 1.005463886272852214e+00
4.062026336451508087e+03 9.987763453872536834e-01
4.062047461095752624e+03 1.008567103097124384e+00
4.062068585849856845e+03 1.006127056279781051e+00
4.062089710713819841e+03 1.007356598316107910e+00
4.062110835687643430e+03 1.003352124652278521e+00
4.062131960771328522e+03 1.005018890755203342e+00
4.062153085964874208e+03 1.007170598220676005e+00
4.062174211268282306e+03 1.001191422382424312e+00
4.062195336681552817e+03 9.969262419883261339e-01
4.062216462204686195e+03 9.956259976482305651e-01
4.062237587837683350e+03 9.901396934439601338e-01
4.062258713580545191e+03 9.982605178261246825e-01
4.062279839433271718e+03 1.000562424797139638e+00
4.062300965395863386e+03 1.000857581699054588e+00
4.062322091468321105e+03 1.004163841053595130e+00
4.062343217650645329e+03 1.007110077729029607e+00
4.062364343942836513e+03 1.002853948643280146e+00
4.062385470344895566e+03 9.999392339661119511e-01
4.062406596856822944e+03 9.985599271810432498e-01
4.062427723478619100e+03 1.002805039547660648e+00
4.062448850210284945e+03 9.879213751927308218e-01
4.062469977051820024e+03 9.775655225810612192e-01
4.062491104003226610e+03 9.917171498738411861e-01
4.062512231064503339e+03 1.004658540988059068e+00
4.062533358235652031e+03 1.000726969824522694e+00
4.062554485516673140e+03 1.002204969141573088e+00
4.062575612907567120e+03 1.009072171887866132e+00
4.062596740408334426e+03 9.971051991878907561e-01
4.062617868018975514e+03 9.924279817584994445e-01
4.062638995739491293e+03 9.982903298258626323e-01
4.062660123569882217e+03 1.001180939179642682e+00
4.062681251510148741e+03 1.000502084818893689e+00
4.062702379560291774e+03 1.003153390395768119e+00
4.062723507720311318e+03 1.007816905265251695e+00
4.062744635990208280e+03 1.006804811110205478e+00
4.062765764369983117e+03 9.999613548477661595e-01
4.062786892859636737e+03 9.978152200829528695e-01
4.062808021459169595e+03 9.934923848691191717e-01
4.062829150168581691e+03 1.004035820031627280e+00
4.062850278987874390e+03 9.977574842960749146e-01
4.062871407917047236e+03 1.000660502845314603e+00
4.062892536956102049e+03 1.007392636300246558e+00
4.062913666105039283e+03 9.969410108254301850e-01
4.062934795363858484e+03 9.970782759588459054e-01
4.062955924732560561e+03 9.999761288246818980e-01
4.062977054211146879e+03 9.973290809885191344e-01
4.062998183799616982e+03 9.974381997096399832e-01
4.063019313497972234e+03 9.931688937640138493e-01
4.063040443306212637e+03 9.948835493221350745e-01
4.063061573224339099e+03 9.993818077057849969e-01
4.063082703252352076e+03 9.917884271188232015e-01
4.063103833390252476e+03 9.977472826126578820e-01
4.063124963638040299e+03 1.003771923788795428e+00
4.063146093995716456e+03 1.010913240478608088e+00
4.063167224463280945e+03 9.935494738675330062e-01
4.063188355040735132e+03 9.974578969068111922e-01
4.063209485728079926e+03 9.963230394959738945e-01
4.063230616525314417e+03 9.935305323298224689e-01
4.063251747432439970e+03 9.860481473389678397e-01
4.063272878449457949e+03 9.953865639803728405e-01
4.063294009576367444e+03 1.005322146332497724e+00
4.063315140813170274e+03 1.004201227977504107e+00
4.063336272159866439e+03 9.947418489279123976e-01
4.063357403616456395e+03 9.959272821512288321e-01
4.063378535182941050e+03 1.001444866779546583e+00
4.063399666859320405e+03 1.004882897679660436e+00
4.063420798645595823e+03 9.969987855417545841e-01
4.063441930541767306e+03 1.000595667018595591e+00
4.063463062547835762e+03 1.007042160756792981e+00
4.063484194663801645e+03 1.004961031871574484e+00
4.063505326889665412e+03 1.003815945306665069e+00
4.063526459225427516e+03 9.972678828829777409e-01
4.063547591671089322e+03 1.000593399224301017e+00
4.063568724226649920e+03 1.000831236644234012e+00
4.063589856892111584e+03 1.005903758970759787e+00
4.063610989667473405e+03 9.964828052121714741e-01
4.063632122552737201e+03 9.947211560731338276e-01
4.063653255547902972e+03 9.956616976282738340e-01
4.063674388652970720e+03 9.971781060166590160e-01
4.063695521867941807e+03 1.007309143046688060e+00
4.063716655192816688e+03 9.911620413244320860e-01
4.063737788627595819e+03 9.950206954152231997e-01
4.063758922172279654e+03 9.949592450218818218e-01
4.063780055826869102e+03 1.012050358964210250e+00
4.063801189591364619e+03 1.000831391854536623e+00
4.063822323465765749e+03 9.986058701875927257e-01
4.063843457450075221e+03 1.003013949919039582e+00
4.063864591544292125e+03 1.002600270281577055e+00
4.063885725748416917e+03 1.001748262862451444e+00
4.063906860062450050e+03 1.001272175027320133e+00
4.063927994486393345e+03 1.001084060818140831e+00
4.063949129020246346e+03 1.002381546160398429e+00
4.063970263664009963e+03 9.995916240218613025e-01
4.063991398417684650e+03 9.990512669312451299e-01
4.064012533281271317e+03 9.930005934191090677e-01
4.064033668254769964e+03 9.911536627453599868e-01
4.064054803338181500e+03 1.003245436814766522e+00
4.064075938531506381e+03 1.006181012811553144e+00
4.064097073834745061e+03 1.007292971280361549e+00
4.064118209247898449e+03 9.951369420725562076e-01
4.064139344770967000e+03 1.000130939227567461e+00
4.064160480403951169e+03 9.991263881086350773e-01
4.064181616146851411e+03 1.000366156605139611e+00
4.064202751999668635e+03 1.002794625110773330e+00
4.064223887962403296e+03 9.947183035511240057e-01
4.064245024035056304e+03 9.992725291303476975e-01
4.064266160217627657e+03 9.957453839402921059e-01
4.064287296510117812e+03 1.003115448508277163e+00
4.064308432912527678e+03 1.000564212054747770e+00
4.064329569424857709e+03 9.956795315134343571e-01
4.064350706047109270e+03 1.006187724196365929e+00
4.064371842779281451e+03 1.000733423970509683e+00
4.064392979621375616e+03 9.956312550957074903e-01
4.064414116573392675e+03 1.004401958972399145e+00
4.064435253635333083e+03 1.005245815748904814e+00
4.064456390807196385e+03 1.005767279798833957e+00
4.064477528088984855e+03 1.009170026701180722e+00
4.064498665480697582e+03 1.004119746943088920e+00
4.064519802982335932e+03 9.991691742033392831e-01
4.064540940593900359e+03 1.003920492189452895e+00
4.064562078315391318e+03 1.006061588901529191e+00
4.064583216146808809e+03 1.000676826530487062e+00
4.064604354088154651e+03 9.915710742846554071e-01
4.064625492139428388e+03 1.003272910826582986e+00
4.064646630300631386e+03 1.005279262684619201e+00
4.064667768571763190e+03 9.933568359477764620e-01
4.064688906952825164e+03 1.002520246637620849e+00
4.064710045443817762e+03 1.005187856300383098e+00
4.064731184044741894e+03 9.981724532373050796e-01
4.064752322755597561e+03 1.002932376770848011e+00
4.064773461576385216e+03 1.001189996301167007e+00
4.064794600507105315e+03 9.960681851251449448e-01
4.064815739547759676e+03 1.000654774305232975e+00
4.064836878698347391e+03 1.004211660183549126e+00
4.064858017958869823e+03 1.007359778392237670e+00
4.064879157329327427e+03 1.007339706734375895e+00
4.064900296809720658e+03 1.001513277989771078e+00
4.064921436400049970e+03 1.001889057305578756e+00
4.064942576100316728e+03 1.006327647179660945e+00
4.064963715910520477e+03 1.008242541111138868e+00
4.064984855830662582e+03 9.993271592358582422e-01
4.065005995860742587e+03 9.980669202322620670e-01
4.065027136000762312e+03 1.001123302682267013e+00
4.065048276250721301e+03 1.010700061242087333e+00
4.065069416610620465e+03 1.001087468368763611e+00
4.065090557080461167e+03 1.006011822674828915e+00
4.065111697660242953e+03 1.003936519578827236e+00
4.065132838349966278e+03 1.006245018353315812e+00
4.065153979149632505e+03 1.006716946518895650e+00
4.065175120059241635e+03 1.007439411565537402e+00
4.065196261078794578e+03 9.985613900000652743e-01
4.065217402208291787e+03 1.001702025490791570e+00
4.065238543447734173e+03 9.991976931324219047e-01
