# Corrected for radial velocity of 20.55 km/s
# 
# star name zetOri, line HDELTA
# instrument: HERMES spectrograph @Mercator
# date of observation (midpoint)2018-10-12T04:43:02.012206
# BJD of observation (midpoint)2458403.6986985
# name of fits file: 00897763_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits
# 
# wavelength(Angstrom,air) normalised_flux
4.061730602966967581e+03 1.003461703968305807e+00
4.061751726073245209e+03 1.003001367695069090e+00
4.061772849289373426e+03 1.001125516634361556e+00
4.061793972615353596e+03 1.006527233611877348e+00
4.061815096051185719e+03 9.993273534139046621e-01
4.061836219596871160e+03 9.992990548202903556e-01
4.061857343252409464e+03 9.910704382229806875e-01
4.061878467017801995e+03 9.956974906093025712e-01
4.061899590893048753e+03 9.983973695234037438e-01
4.061920714878151102e+03 1.008228079847191649e+00
4.061941838973108588e+03 9.894391151268217000e-01
4.061962963177922575e+03 9.964018368499042433e-01
4.061984087492593062e+03 1.004178696138936733e+00
4.062005211917121869e+03 1.004434847643749240e+00
4.062026336451508087e+03 1.009062842364069512e+00
4.062047461095752624e+03 1.002341626687426324e+00
4.062068585849856845e+03 1.009892169373617143e+00
4.062089710713819841e+03 1.008926908673560163e+00
4.062110835687643430e+03 1.010205362031871390e+00
4.062131960771328522e+03 1.002815252772094379e+00
4.062153085964874208e+03 1.000019644007952957e+00
4.062174211268282306e+03 1.000362133869773018e+00
4.062195336681552817e+03 1.007659858303809219e+00
4.062216462204686195e+03 9.972880048216440363e-01
4.062237587837683350e+03 9.917387197356355433e-01
4.062258713580545191e+03 9.950166498554678940e-01
4.062279839433271718e+03 9.980985513339645232e-01
4.062300965395863386e+03 9.956407144534641374e-01
4.062322091468321105e+03 9.952850817550562557e-01
4.062343217650645329e+03 1.001094011591450617e+00
4.062364343942836513e+03 1.004057981430504620e+00
4.062385470344895566e+03 1.003523333102323667e+00
4.062406596856822944e+03 9.985293638784974446e-01
4.062427723478619100e+03 1.001070985373845534e+00
4.062448850210284945e+03 9.862587963067398489e-01
4.062469977051820024e+03 9.728400208664702564e-01
4.062491104003226610e+03 9.898585869520171165e-01
4.062512231064503339e+03 1.013970783145672350e+00
4.062533358235652031e+03 1.006221652821303714e+00
4.062554485516673140e+03 1.001406025127695054e+00
4.062575612907567120e+03 1.005747352098834035e+00
4.062596740408334426e+03 9.905009911801844202e-01
4.062617868018975514e+03 1.002350292930475728e+00
4.062638995739491293e+03 1.003600314037617069e+00
4.062660123569882217e+03 9.970413684983483460e-01
4.062681251510148741e+03 1.008598263714549859e+00
4.062702379560291774e+03 9.976021588056844802e-01
4.062723507720311318e+03 9.968538236576038880e-01
4.062744635990208280e+03 1.001928823862360041e+00
4.062765764369983117e+03 1.001783698402101130e+00
4.062786892859636737e+03 9.994305976385342571e-01
4.062808021459169595e+03 9.969001176749191506e-01
4.062829150168581691e+03 1.004489248613104957e+00
4.062850278987874390e+03 1.000483831515698308e+00
4.062871407917047236e+03 9.915815069146466376e-01
4.062892536956102049e+03 9.932810957945211738e-01
4.062913666105039283e+03 9.888731206560694709e-01
4.062934795363858484e+03 9.880174651540627462e-01
4.062955924732560561e+03 1.010008293014663883e+00
4.062977054211146879e+03 1.006375388141767635e+00
4.062998183799616982e+03 1.000007236482942652e+00
4.063019313497972234e+03 9.981556643138853602e-01
4.063040443306212637e+03 9.958582808168704448e-01
4.063061573224339099e+03 9.870571022452773180e-01
4.063082703252352076e+03 9.953871473318706142e-01
4.063103833390252476e+03 9.999944345442711713e-01
