# Corrected for radial velocity of 20.55 km/s
# 
# star name zetOri, line HEIHEII4026
# instrument: HERMES spectrograph @Mercator
# date of observation (midpoint)2018-10-12T03:00:28.387682
# BJD of observation (midpoint)2458403.6274701
# name of fits file: 00897756_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits
# 
# wavelength(Angstrom,air) normalised_flux
4.013729201773125169e+03 9.974081874786520086e-01
4.013750075247213317e+03 9.993510501882856278e-01
4.013770948829855570e+03 9.944086661935520599e-01
4.013791822521051017e+03 9.946901414546891473e-01
4.013812696320799660e+03 1.005168298175491470e+00
4.013833570229103771e+03 1.002481027729017704e+00
4.013854444245962441e+03 9.970482678283646427e-01
4.013875318371377489e+03 9.968076946739448108e-01
4.013896192605348460e+03 9.986015159051178092e-01
4.013917066947875810e+03 9.974104076774765737e-01
4.013937941398961357e+03 9.958898439403458536e-01
4.013958815958604646e+03 1.002153414421582234e+00
4.013979690626806132e+03 9.945240789357691069e-01
4.014000565403567634e+03 9.958710409177347067e-01
4.014021440288887334e+03 1.000513613621059283e+00
4.014042315282768413e+03 1.002283608897801326e+00
4.014063190385209964e+03 9.985030184557953659e-01
4.014084065596212895e+03 9.987832621815357914e-01
4.014104940915777661e+03 9.959811942510338190e-01
4.014125816343904717e+03 1.001692432396482646e+00
4.014146691880595426e+03 9.966964775010771493e-01
4.014167567525849790e+03 9.966089315284591965e-01
4.014188443279667354e+03 9.961062494460546368e-01
4.014209319142050390e+03 9.982903044288393701e-01
4.014230195112998899e+03 1.002989558133006165e+00
4.014251071192512882e+03 1.000325104095533435e+00
4.014271947380593701e+03 1.000098070393776295e+00
4.014292823677241358e+03 9.967325728119804662e-01
4.014313700082456307e+03 9.982639094985670258e-01
4.014334576596239458e+03 9.893364588607953536e-01
4.014355453218591720e+03 9.969486213704713551e-01
4.014376329949513092e+03 1.005842721563564357e+00
4.014397206789004031e+03 1.003797758395097217e+00
4.014418083737065444e+03 1.001363584315724919e+00
4.014438960793698243e+03 9.867311632345885375e-01
4.014459837958901971e+03 9.938855530442561870e-01
4.014480715232677994e+03 9.988106790266425561e-01
4.014501592615026766e+03 9.997379874410146083e-01
4.014522470105948742e+03 1.004988254933866898e+00
4.014543347705444376e+03 9.939010440097442167e-01
4.014564225413514123e+03 9.951141747137911553e-01
4.014585103230159348e+03 9.936950271257350975e-01
4.014605981155380050e+03 1.000455987043020079e+00
4.014626859189176230e+03 9.988312636773697406e-01
4.014647737331549251e+03 9.987589119943610649e-01
4.014668615582500024e+03 9.925291666838961246e-01
4.014689493942028093e+03 9.971238350376734338e-01
4.014710372410134369e+03 9.989390675593623481e-01
4.014731250986819305e+03 1.000198349138996079e+00
4.014752129672083811e+03 1.007340758079700915e+00
4.014773008465928797e+03 1.005039290447688138e+00
4.014793887368353808e+03 9.972532677132975865e-01
4.014814766379359753e+03 9.971983088189178002e-01
4.014835645498947997e+03 9.997855217447491061e-01
4.014856524727118085e+03 1.000931774394163032e+00
4.014877404063871381e+03 9.908141183097466387e-01
4.014898283509207431e+03 9.960448426034150815e-01
4.014919163063128053e+03 9.960958257987198028e-01
4.014940042725632793e+03 9.983472971049272005e-01
4.014960922496722560e+03 1.000279319259712363e+00
4.014981802376398264e+03 1.004358607485147381e+00
4.015002682364660359e+03 9.952852823197598786e-01
4.015023562461508845e+03 9.903065982819095892e-01
4.015044442666944633e+03 9.963263237991027976e-01
4.015065322980968631e+03 9.991857173309025564e-01
4.015086203403580839e+03 1.004653099523819426e+00
4.015107083934782622e+03 9.986764105488866727e-01
4.015127964574573070e+03 9.892132341957218244e-01
4.015148845322954458e+03 9.947834520945179060e-01
4.015169726179926329e+03 9.936635791984484989e-01
4.015190607145489139e+03 9.885975695514969130e-01
4.015211488219644252e+03 1.002818181195949343e+00
4.015232369402391669e+03 9.968430597432944573e-01
4.015253250693731843e+03 9.967722592098348100e-01
4.015274132093665685e+03 1.000837146107014908e+00
4.015295013602193649e+03 9.920662435535645418e-01
4.015315895219316189e+03 9.980442666432576271e-01
4.015336776945034217e+03 1.004859323746137179e+00
4.015357658779348185e+03 9.972721365386246761e-01
4.015378540722258094e+03 9.958904982455920596e-01
4.015399422773765309e+03 1.003235605913905149e+00
4.015420304933869829e+03 9.972234044457748414e-01
4.015441187202572564e+03 9.977985913500486692e-01
4.015462069579873969e+03 1.001883479154738188e+00
4.015482952065774043e+03 9.998758082968169925e-01
4.015503834660274151e+03 9.979084618494208359e-01
4.015524717363374748e+03 1.000908927332497145e+00
