# Corrected for radial velocity of 20.55 km/s
# 
# star name zetOri, line HEI4471
# instrument: HERMES spectrograph @Mercator
# date: AVERAGE of observations from October 2018
# 
# wavelength(Angstrom,air) normalised_flux
4.459706787525215987e+03 1.000641408681895994e+00
4.459729980314114073e+03 9.989580086245842816e-01
4.459753173223628437e+03 9.991918315991537014e-01
4.459776366253756350e+03 9.969590844324889289e-01
4.459799559404500542e+03 9.955549877176775864e-01
4.459822752675861011e+03 9.989793279228981193e-01
4.459845946067839577e+03 9.960440972045774277e-01
4.459869139580434421e+03 9.997011002718679817e-01
4.459892333213648271e+03 1.002501333268439154e+00
4.459915526967480218e+03 1.003760991260510327e+00
4.459938720841932081e+03 1.001786593632160605e+00
4.459961914837004770e+03 9.986177612240564327e-01
4.459985108952698283e+03 1.000939553897680634e+00
4.460008303189012622e+03 1.000965181986052110e+00
4.460031497545949605e+03 9.999688879746684300e-01
4.460054692023508323e+03 1.000327909802585236e+00
4.460077886621690595e+03 1.002191523596436484e+00
4.460101081340497331e+03 1.000569775406399353e+00
4.460124276179929439e+03 1.002590408896744334e+00
4.460147471139985100e+03 1.001455096807733147e+00
4.460170666220667044e+03 1.001815297501976287e+00
4.460193861421976180e+03 1.001906858929494826e+00
4.460217056743911598e+03 1.002710038436207540e+00
4.460240252186474208e+03 1.001153526171584929e+00
4.460263447749666739e+03 1.002010257965904483e+00
4.460286643433487370e+03 1.003928897100577977e+00
4.460309839237937922e+03 1.001664834193512377e+00
4.460333035163017485e+03 9.979860884144859945e-01
4.460356231208728786e+03 1.001680076778808326e+00
4.460379427375071828e+03 1.001179305327245750e+00
4.460402623662046608e+03 9.980069186539682891e-01
4.460425820069654947e+03 9.967114946712699597e-01
4.460449016597895934e+03 9.967044213918645479e-01
4.460472213246770480e+03 9.951201769179967016e-01
4.460495410016279493e+03 9.998925065658951228e-01
4.460518606906424793e+03 1.002504930608818956e+00
4.460541803917205470e+03 1.001025319235115951e+00
4.460565001048622435e+03 1.001214902007911522e+00
4.460588198300676595e+03 9.997668791209359807e-01
4.460611395673368861e+03 1.003457453708123337e+00
4.460634593166699233e+03 1.005073711626596866e+00
4.460657790780668620e+03 9.980852246858304966e-01
4.460680988515277022e+03 9.978452042116122689e-01
4.460704186370527168e+03 1.001324944735566769e+00
4.460727384346417239e+03 9.980634433105066705e-01
4.460750582442948144e+03 1.000868782332505313e+00
4.460773780660122611e+03 1.000054222635937240e+00
4.460796978997938822e+03 9.988221488833041173e-01
4.460820177456399506e+03 9.971843054447775412e-01
4.460843376035502843e+03 1.000531874205349059e+00
4.460866574735251561e+03 1.003513443030634278e+00
4.460889773555644751e+03 9.982588310445220658e-01
4.460912972496685143e+03 1.000102319228809433e+00
4.460936171558370916e+03 1.001497232239046742e+00
4.460959370740704799e+03 1.000767526895832482e+00
4.460982570043685882e+03 9.998456017846426569e-01
4.461005769467315076e+03 9.966735237807119452e-01
4.461028969011594199e+03 1.000997272636934721e+00
4.461052168676522342e+03 1.001872179875631597e+00
4.461075368462101324e+03 9.966439287386021917e-01
4.461098568368331144e+03 9.978985891570075761e-01
4.461121768395211802e+03 1.000857725699414669e+00
4.461144968542746028e+03 1.003152266952454630e+00
4.461168168810931093e+03 9.940944205311554871e-01
4.461191369199770634e+03 9.949428715697690162e-01
4.461214569709264651e+03 1.001426636049068675e+00
4.461237770339413146e+03 1.001331150383545809e+00
4.461260971090217026e+03 9.990238051156401511e-01
4.461284171961676293e+03 1.000116350752009220e+00
4.461307372953791855e+03 1.003370388698468174e+00
4.461330574066565532e+03 9.981418092275887721e-01
4.461353775299996414e+03 9.993683806759383614e-01
4.461376976654085411e+03 9.981804220277967765e-01
4.461400178128835250e+03 9.985081780766349446e-01
4.461423379724243205e+03 9.962596066564800568e-01
4.461446581440311093e+03 9.967243618567744878e-01
4.461469783277040733e+03 9.966056701392357331e-01
4.461492985234432126e+03 1.001144989044981726e+00
4.461516187312485272e+03 1.004668241530245032e+00
4.461539389511201989e+03 9.976176105951986006e-01
4.461562591830582278e+03 1.001075959562608864e+00
4.461585794270626138e+03 1.003033218412385796e+00
4.461608996831334480e+03 1.002797748020908486e+00
4.461632199512708212e+03 1.000999750858276416e+00
4.461655402314748244e+03 1.003873466400279080e+00
4.461678605237454576e+03 1.005786661122626269e+00
4.461701808280829027e+03 9.956645736528176860e-01
4.461725011444870688e+03 1.003893122439231123e+00
4.461748214729580468e+03 1.005912386305114703e+00
4.461771418134960186e+03 9.977438481735717568e-01
4.461794621661008932e+03 9.970522039439092543e-01
4.461817825307727617e+03 1.002327491470919929e+00
4.461841029075118058e+03 9.946877819362550666e-01
4.461864232963179347e+03 1.006755423187272847e+00
4.461887436971914212e+03 9.976575618523833011e-01
4.461910641101321744e+03 9.928606280050195076e-01
4.461933845351401942e+03 9.910698383704247272e-01
4.461957049722157535e+03 1.000219400945364656e+00
4.461980254213586704e+03 9.964591650807377299e-01
4.462003458825691268e+03 1.000957684641857526e+00
4.462026663558473047e+03 1.000580798203548838e+00
4.462049868411929310e+03 1.000698003920566403e+00
4.462073073386064607e+03 1.001309124053077149e+00
4.462096278480878027e+03 1.009735042675173888e+00
4.462119483696368661e+03 1.005080033285886909e+00
4.462142689032539238e+03 1.005148186042163161e+00
4.462165894489389757e+03 9.965827458199203459e-01
4.462189100066920219e+03 1.000464877340609515e+00
4.462212305765131532e+03 1.003713907905469771e+00
4.462235511584025517e+03 1.002259290661500879e+00
4.462258717523601263e+03 9.985406875572331309e-01
4.462281923583859680e+03 1.001843108443547958e+00
4.462305129764801677e+03 1.008444706983073758e+00
4.462328336066428164e+03 1.003756600944993860e+00
4.462351542488739142e+03 9.996340792497602212e-01
4.462374749031735519e+03 1.002450522270149857e+00
4.462397955695418204e+03 1.004424978826807591e+00
4.462421162479788109e+03 1.001280162978495758e+00
4.462444369384844322e+03 1.003624515802304495e+00
4.462467576410589572e+03 1.001218427299310321e+00
4.462490783557022041e+03 9.993503271135608657e-01
4.462513990824143548e+03 1.002038358467307377e+00
4.462537198211956820e+03 1.001783141421233037e+00
4.462560405720459130e+03 1.000330717447257989e+00
4.462583613349652296e+03 9.963735201991795742e-01
4.462606821099538138e+03 9.982294678975044411e-01
4.462630028970115745e+03 9.962390589311094224e-01
4.462653236961386028e+03 9.958797384967252864e-01
4.462676445073351715e+03 1.004087743278766487e+00
4.462699653306010077e+03 1.002762361611269748e+00
4.462722861659363844e+03 9.997187006818505361e-01
4.462746070133412104e+03 1.000980889109423844e+00
4.462769278728156678e+03 1.000901377263840208e+00
4.462792487443598475e+03 9.977886090386217655e-01
4.462815696279738404e+03 9.975286816096766707e-01
4.462838905236574647e+03 1.000357462059100033e+00
4.462862114314109931e+03 1.003535194564746602e+00
4.462885323512346076e+03 1.005176693945543542e+00
4.462908532831280354e+03 1.005459978683066691e+00
4.462931742270915493e+03 1.007831901017138598e+00
4.462954951831252401e+03 1.005093999248899417e+00
4.462978161512290171e+03 9.965771750467774526e-01
4.463001371314031530e+03 9.944266369365620806e-01
4.463024581236473750e+03 9.984391202997308090e-01
4.463047791279621379e+03 1.000019882330976495e+00
4.463071001443473506e+03 9.991264507905622816e-01
4.463094211728029222e+03 9.976932983212286610e-01
4.463117422133291257e+03 1.001993770340700696e+00
4.463140632659258699e+03 1.002719870850270478e+00
4.463163843305934279e+03 1.001832829162081717e+00
4.463187054073317086e+03 1.001953143499679122e+00
4.463210264961406210e+03 9.990491966699697191e-01
4.463233475970205291e+03 9.929556412313245151e-01
4.463256687099713417e+03 1.001064978350782342e+00
4.463279898349932409e+03 9.967453759322121298e-01
4.463303109720860448e+03 1.000322178362496039e+00
4.463326321212501171e+03 1.006496350045275268e+00
4.463349532824851849e+03 9.952141984840112698e-01
4.463372744557916121e+03 9.981953356574079228e-01
4.463395956411693078e+03 1.001652226597226303e+00
4.463419168386183628e+03 1.001116716787126437e+00
4.463442380481388682e+03 1.006178597631320670e+00
4.463465592697309148e+03 1.002908063273625583e+00
4.463488805033945027e+03 1.003287464708632948e+00
4.463512017491296319e+03 1.001935335890946188e+00
4.463535230069364843e+03 1.007683812552286229e+00
4.463558442768150599e+03 1.002861464152851712e+00
4.463581655587655405e+03 1.002967733623517654e+00
4.463604868527878352e+03 1.001594347712750022e+00
4.463628081588820351e+03 9.981611025264306436e-01
4.463651294770482309e+03 1.002596928259745113e+00
4.463674508072865137e+03 9.971571847811772082e-01
4.463697721495968835e+03 9.985340318254487535e-01
4.463720935039795222e+03 9.991192547025546933e-01
4.463744148704342479e+03 9.982352192617637288e-01
4.463767362489614243e+03 9.988029514489240590e-01
4.463790576395609605e+03 9.963389902675315879e-01
4.463813790422329475e+03 9.933293954666438941e-01
4.463837004569773853e+03 9.985318042783510872e-01
4.463860218837943648e+03 9.999253065165077947e-01
4.463883433226839770e+03 9.977472388327195407e-01
4.463906647736463128e+03 9.992911065636638224e-01
4.463929862366813722e+03 9.969205310960169708e-01
4.463953077117892462e+03 1.002348335162296822e+00
4.463976291989699348e+03 1.000759618601913425e+00
4.463999506982237108e+03 9.956007508967590347e-01
4.464022722095503013e+03 9.967222411010050465e-01
4.464045937329501612e+03 9.960118073936357064e-01
4.464069152684230176e+03 9.960613828288116256e-01
4.464092368159690523e+03 9.984178543519520721e-01
4.464115583755883563e+03 1.002287533004669662e+00
4.464138799472809296e+03 1.002112848322648686e+00
4.464162015310469542e+03 9.971714319022506601e-01
4.464185231268864300e+03 1.000573084532719870e+00
4.464208447347993570e+03 9.999982546140555595e-01
4.464231663547859171e+03 9.988745491537123211e-01
4.464254879868460193e+03 1.000289503738525099e+00
4.464278096309799366e+03 9.967016344657315674e-01
4.464301312871874870e+03 9.980294908453286595e-01
4.464324529554688525e+03 9.960725661852914969e-01
4.464347746358241238e+03 1.001070448505734012e+00
4.464370963282533921e+03 1.000135496203881980e+00
4.464394180327566573e+03 9.911690709321396842e-01
4.464417397493339195e+03 9.988691473739407245e-01
4.464440614779853604e+03 9.999262902780819973e-01
4.464463832187109801e+03 1.004434214867972797e+00
4.464487049715108697e+03 9.944778233357185471e-01
4.464510267363851199e+03 9.958345643897726918e-01
4.464533485133336399e+03 9.943109992252449070e-01
4.464556703023567025e+03 9.972620032251334754e-01
4.464579921034542167e+03 9.956662443159502995e-01
4.464603139166262736e+03 9.938124875709215544e-01
4.464626357418730549e+03 9.965860154097829771e-01
4.464649575791944699e+03 9.909597848295146338e-01
4.464672794285907003e+03 9.984847527565360314e-01
4.464696012900617461e+03 9.981840379120466844e-01
4.464719231636076074e+03 9.946256432386797464e-01
4.464742450492283751e+03 9.922291562833555068e-01
4.464765669469243221e+03 9.939990383635114446e-01
4.464788888566952664e+03 9.949076299215293684e-01
4.464812107785412991e+03 9.956104471201798756e-01
4.464835327124625110e+03 9.945584998250421860e-01
4.464858546584589931e+03 9.946795526196925419e-01
4.464881766165308363e+03 9.933062198587009339e-01
4.464904985866781317e+03 9.928311280289532359e-01
4.464928205689007882e+03 9.873496231632977738e-01
4.464951425631989878e+03 9.878691246608457543e-01
4.464974645695727304e+03 9.866886776749254073e-01
4.464997865880221070e+03 9.896947169428802482e-01
4.465021086185472086e+03 9.886510752014771031e-01
4.465044306611481261e+03 9.927853077149719763e-01
4.465067527158247685e+03 9.891846498505805219e-01
4.465090747825774088e+03 9.852317761531771412e-01
4.465113968614059559e+03 9.891323713467563561e-01
4.465137189523105008e+03 9.911207710135514493e-01
4.465160410552911344e+03 9.886929443756742319e-01
4.465183631703478568e+03 9.876590540814971231e-01
4.465206852974809408e+03 9.851018465444294492e-01
4.465230074366901135e+03 9.873170825525264815e-01
4.465253295879757388e+03 9.851723123464916076e-01
4.465276517513376348e+03 9.861264993106980681e-01
4.465299739267760742e+03 9.889523630068727256e-01
4.465322961142909662e+03 9.907286291262673572e-01
4.465346183138824927e+03 9.864861284362788085e-01
4.465369405255506535e+03 9.871425627250893786e-01
4.465392627492954489e+03 9.858890896274876692e-01
4.465415849851171515e+03 9.885172304531546494e-01
4.465439072330155795e+03 9.922255775188435489e-01
4.465462294929909149e+03 9.959600830735648724e-01
4.465485517650432485e+03 9.853487222416433822e-01
4.465508740491725803e+03 9.866434609813475864e-01
4.465531963453790013e+03 9.842541745729527225e-01
4.465555186536625115e+03 9.883774433985779151e-01
4.465578409740232019e+03 9.847248751716545234e-01
4.465601633064613452e+03 9.870185580109362977e-01
4.465624856509766687e+03 9.827500929641761473e-01
4.465648080075694452e+03 9.822103124417059794e-01
4.465671303762396747e+03 9.808312140568470339e-01
4.465694527569873571e+03 9.846424726836719987e-01
