# Corrected for radial velocity of 20.55 km/s
# 
# star name zetOri, line HEI4471
# instrument: HERMES spectrograph @Mercator
# date of observation (midpoint)2018-10-13T06:35:36.061776
# BJD of observation (midpoint)2458404.7769581
# name of fits file: 00897909_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits
# 
# wavelength(Angstrom,air) normalised_flux
4.459706787525215987e+03 9.984857111364279225e-01
4.459729980314114073e+03 1.000991738130090347e+00
4.459753173223628437e+03 9.987030429208638704e-01
4.459776366253756350e+03 9.955883067361293026e-01
4.459799559404500542e+03 9.978945116038185903e-01
4.459822752675861011e+03 1.001765196948347869e+00
4.459845946067839577e+03 1.004244287366758748e+00
4.459869139580434421e+03 1.003409365557142996e+00
4.459892333213648271e+03 1.000823987907961898e+00
4.459915526967480218e+03 9.990862354405785073e-01
4.459938720841932081e+03 9.997718290395526397e-01
4.459961914837004770e+03 9.999190727300136805e-01
4.459985108952698283e+03 9.996372984598228539e-01
4.460008303189012622e+03 1.000908187887354472e+00
4.460031497545949605e+03 9.978456876307505441e-01
4.460054692023508323e+03 9.946292166244274924e-01
4.460077886621690595e+03 9.965492527420553026e-01
4.460101081340497331e+03 1.000229104515634404e+00
4.460124276179929439e+03 9.990554105559477094e-01
4.460147471139985100e+03 1.000721822442061315e+00
4.460170666220667044e+03 1.000505074406646155e+00
4.460193861421976180e+03 1.003932695616160942e+00
4.460217056743911598e+03 9.994832360582992514e-01
4.460240252186474208e+03 9.986043124513156455e-01
4.460263447749666739e+03 1.004004786654509429e+00
4.460286643433487370e+03 1.002426140157383738e+00
4.460309839237937922e+03 1.000682404861107377e+00
4.460333035163017485e+03 1.001202084299470663e+00
4.460356231208728786e+03 9.953454830399653952e-01
4.460379427375071828e+03 9.956291356263318182e-01
4.460402623662046608e+03 9.960211999604950961e-01
4.460425820069654947e+03 1.001293142482346354e+00
4.460449016597895934e+03 1.000096652340445091e+00
4.460472213246770480e+03 1.001085340427411818e+00
4.460495410016279493e+03 1.004219158243208510e+00
4.460518606906424793e+03 9.985958830950137921e-01
4.460541803917205470e+03 1.004074183841108914e+00
4.460565001048622435e+03 1.005543390731450160e+00
4.460588198300676595e+03 1.001478497470788653e+00
4.460611395673368861e+03 9.984090312455854432e-01
4.460634593166699233e+03 9.996721026880495131e-01
4.460657790780668620e+03 9.969881290827720122e-01
4.460680988515277022e+03 9.962793630011886892e-01
4.460704186370527168e+03 9.972909182431485275e-01
4.460727384346417239e+03 1.000348440461896748e+00
4.460750582442948144e+03 1.000356435396418719e+00
4.460773780660122611e+03 1.001940331388458727e+00
4.460796978997938822e+03 1.001330568638251206e+00
4.460820177456399506e+03 1.001467340654955018e+00
4.460843376035502843e+03 1.003487774112906683e+00
4.460866574735251561e+03 1.001874591450439889e+00
4.460889773555644751e+03 1.001734040812632731e+00
4.460912972496685143e+03 1.000746469648630788e+00
4.460936171558370916e+03 1.002414967912398147e+00
4.460959370740704799e+03 9.989675585382614686e-01
4.460982570043685882e+03 1.001181890326498625e+00
4.461005769467315076e+03 1.000349739813597205e+00
4.461028969011594199e+03 9.981526075322085800e-01
4.461052168676522342e+03 1.003380183881096510e+00
4.461075368462101324e+03 1.003553298731133969e+00
4.461098568368331144e+03 1.004859858233122738e+00
4.461121768395211802e+03 9.983381127762310792e-01
4.461144968542746028e+03 9.976868278411765711e-01
4.461168168810931093e+03 1.004661692218815627e+00
4.461191369199770634e+03 9.994844704920057277e-01
4.461214569709264651e+03 1.003963535622227843e+00
4.461237770339413146e+03 1.004389529320814489e+00
4.461260971090217026e+03 9.983711201454096296e-01
4.461284171961676293e+03 9.928295332518974892e-01
4.461307372953791855e+03 9.989686266142564497e-01
4.461330574066565532e+03 1.002990982745149307e+00
4.461353775299996414e+03 9.991171906037810135e-01
4.461376976654085411e+03 9.980912003167262680e-01
