# Corrected for radial velocity of 20.55 km/s
# 
# star name zetOri, line HEII4200
# instrument: HERMES spectrograph @Mercator
# date: AVERAGE of observations from October 2018
# 
# wavelength(Angstrom,air) normalised_flux
4.192733985978792589e+03 9.967509098625951802e-01
4.192755790370623799e+03 1.000072140027050693e+00
4.192777594875848990e+03 9.986005695373264546e-01
4.192799399494468162e+03 1.003152202678795124e+00
4.192821204226483133e+03 1.002168095272323090e+00
4.192843009071893903e+03 1.003488410267629360e+00
4.192864814030701382e+03 1.003974996283326204e+00
4.192886619102906479e+03 1.000257061595601238e+00
4.192908424288508286e+03 1.001212017257635312e+00
4.192930229587507711e+03 1.004972521642473859e+00
4.192952034999907482e+03 1.002080826522906642e+00
4.192973840525706692e+03 1.004365084363044724e+00
4.192995646164905338e+03 1.003363374402400421e+00
4.193017451917504332e+03 9.987095056149516425e-01
4.193039257783505491e+03 1.003170419361171906e+00
4.193061063762906997e+03 1.001700035063265215e+00
4.193082869855712488e+03 9.973738895371986324e-01
4.193104676061920145e+03 1.001864724994584899e+00
4.193126482381531787e+03 1.006865317282398919e+00
4.193148288814547413e+03 1.002804699368747610e+00
4.193170095360967935e+03 9.983894625606507534e-01
4.193191902020794259e+03 1.002472458581830317e+00
4.193213708794025479e+03 1.000347860920735465e+00
4.193235515680663411e+03 9.945454111544608233e-01
4.193257322680708057e+03 1.004248925928851177e+00
4.193279129794162145e+03 1.007102678439133925e+00
4.193300937021022946e+03 1.000812554793453435e+00
4.193322744361293189e+03 9.987939967518062456e-01
4.193344551814972874e+03 1.001141616867634809e+00
4.193366359382062910e+03 1.002485030357927132e+00
4.193388167062563298e+03 9.992413365954183613e-01
4.193409974856475856e+03 9.962360123086346775e-01
4.193431782763797855e+03 1.003847142835959660e+00
4.193453590784534754e+03 1.005455968076648610e+00
4.193475398918683823e+03 1.006087557787505249e+00
4.193497207166245971e+03 1.009683900525509159e+00
4.193519015527223019e+03 1.005999506187274406e+00
4.193540824001614965e+03 1.004663315685172753e+00
4.193562632589421810e+03 1.006572980914808069e+00
4.193584441290644463e+03 9.981435912795797449e-01
4.193606250105284744e+03 1.002379008742565691e+00
4.193628059033340833e+03 1.004208813773612041e+00
4.193649868074815458e+03 1.011410359368441592e+00
4.193671677229707711e+03 1.001398899803398024e+00
4.193693486498020320e+03 1.004315026295030000e+00
4.193715295879750556e+03 1.001110787768894728e+00
4.193737105374902967e+03 1.003437260512234586e+00
4.193758914983473915e+03 1.004826607966703866e+00
