# Corrected for radial velocity of 20.55 km/s
# 
# star name zetOri, line HEII5411
# instrument: HERMES spectrograph @Mercator
# date of observation (midpoint)2018-10-14T06:19:29.305748
# BJD of observation (midpoint)2458405.7658485
# name of fits file: 00898036_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits
# 
# wavelength(Angstrom,air) normalised_flux
5.389648783868284227e+03 1.000466780073715034e+00
5.389676812837998114e+03 9.961181109918930687e-01
5.389704841953478535e+03 9.943084219338355068e-01
5.389732871214723673e+03 9.984140336814341099e-01
5.389760900621736255e+03 1.000433103697391246e+00
5.389788930174515372e+03 1.000068740740521100e+00
5.389816959873062842e+03 9.970200727230653648e-01
5.389844989717380486e+03 9.961596078780496910e-01
5.389873019707466483e+03 1.000743124998374256e+00
5.389901049843323563e+03 1.001151230114307289e+00
5.389929080124952634e+03 9.975567400078014790e-01
5.389957110552351878e+03 9.958607526612804905e-01
5.389985141125525843e+03 9.983376954893486976e-01
5.390013171844472708e+03 1.003678364382689203e+00
5.390041202709192476e+03 1.001506554306285546e+00
5.390069233719688782e+03 1.002082996053843988e+00
5.390097264875960718e+03 1.002984211183424845e+00
5.390125296178008284e+03 1.000196635967453895e+00
5.390153327625834208e+03 9.964093574297602229e-01
5.390181359219437581e+03 9.960107608002395363e-01
5.390209390958820222e+03 9.989294194155300399e-01
5.390237422843983040e+03 9.967841331811767569e-01
5.390265454874924217e+03 9.958922189767527300e-01
5.390293487051648299e+03 1.002942316056347760e+00
5.390321519374153468e+03 1.001352866029672883e+00
5.390349551842441542e+03 9.938325488306614108e-01
5.390377584456513432e+03 9.962758498712130928e-01
5.390405617216368228e+03 9.986317019974249032e-01
5.390433650122008657e+03 9.974300029352696217e-01
5.390461683173434722e+03 9.961686885323225438e-01
5.390489716370647329e+03 9.991008353334178693e-01
5.390517749713647390e+03 9.999004252285269567e-01
5.390545783202434905e+03 9.999613966259979225e-01
5.390573816837010781e+03 1.000003379229478240e+00
5.390601850617376840e+03 1.002286461440545562e+00
5.390629884543533080e+03 1.001244660510151485e+00
5.390657918615479502e+03 9.943765528630879036e-01
5.390685952833217925e+03 9.936710746363593971e-01
5.390713987196749258e+03 9.939649153504355183e-01
5.390742021706073501e+03 9.934862186823284480e-01
5.390770056361191564e+03 9.999677649483158515e-01
5.390798091162104356e+03 9.991246489172284084e-01
5.390826126108813696e+03 9.952390729529624336e-01
5.390854161201317766e+03 1.001410071725357565e+00
5.390882196439620202e+03 9.998164957191130187e-01
5.390910231823719187e+03 9.923970724884219052e-01
5.390938267353617448e+03 9.990587727459148137e-01
5.390966303029314986e+03 1.000290229772673678e+00
5.390994338850811801e+03 1.005042044189011552e+00
5.391022374818110620e+03 9.992466670562003550e-01
5.391050410931210536e+03 1.005365339511978373e+00
5.391078447190112456e+03 1.003579745599559869e+00
5.391106483594818201e+03 9.979331770303485616e-01
5.391134520145327770e+03 9.943391128205315566e-01
5.391162556841641162e+03 9.996002716910632468e-01
5.391190593683760198e+03 9.963516587182885687e-01
5.391218630671684878e+03 9.987616438253236195e-01
5.391246667805417019e+03 1.003489466093246074e+00
5.391274705084957532e+03 9.987033833340360767e-01
5.391302742510305507e+03 9.976855071036684341e-01
5.391330780081462763e+03 1.000574962297303694e+00
5.391358817798430209e+03 1.000273779575845623e+00
5.391386855661207846e+03 1.000907102776760427e+00
5.391414893669797493e+03 1.002269868210113213e+00
5.391442931824199150e+03 1.002420594266774323e+00
5.391470970124412815e+03 1.000189054112379239e+00
5.391499008570441219e+03 1.002473305140269000e+00
5.391527047162284362e+03 1.002342449379453049e+00
5.391555085899942242e+03 1.004612291638197430e+00
5.391583124783415769e+03 1.001475383285579168e+00
5.391611163812706764e+03 9.932430865400529996e-01
5.391639202987815224e+03 9.994641131684041113e-01
5.391667242308741152e+03 1.005531948087334815e+00
5.391695281775487274e+03 1.003576936405018216e+00
5.391723321388051772e+03 9.962917880896965395e-01
5.391751361146437375e+03 9.968617385673216313e-01
5.391779401050644992e+03 1.002667157576899948e+00
5.391807441100673714e+03 9.989079706484242926e-01
5.391835481296524449e+03 9.974581255330814411e-01
5.391863521638200837e+03 1.000293693105095860e+00
5.391891562125700148e+03 9.993352897195121320e-01
5.391919602759025111e+03 9.986714879230880193e-01
5.391947643538175726e+03 9.979837231136350351e-01
5.391975684463152902e+03 9.954305764824098457e-01
5.392003725533957549e+03 1.000031469122035332e+00
5.392031766750589668e+03 1.000403322338070389e+00
5.392059808113051986e+03 9.984392619849501438e-01
5.392087849621342684e+03 1.006415100142445507e+00
5.392115891275465401e+03 1.000802040799391390e+00
5.392143933075417408e+03 9.991089096903453814e-01
5.392171975021202343e+03 1.001946914016776713e+00
5.392200017112819296e+03 9.969273283175460465e-01
5.392228059350270996e+03 9.964251580861704927e-01
5.392256101733554715e+03 1.004582716814390819e+00
5.392284144262674999e+03 9.989346997675289108e-01
5.392312186937630941e+03 9.972200622265270376e-01
5.392340229758422538e+03 1.001609440898962422e+00
5.392368272725051611e+03 1.002727949150905795e+00
5.392396315837519069e+03 1.004666256332495733e+00
5.392424359095824911e+03 1.002835193377289214e+00
5.392452402499970958e+03 1.001325662023973662e+00
5.392480446049956299e+03 1.004210958098471052e+00
5.392508489745782754e+03 1.000057203713897280e+00
5.392536533587452141e+03 9.985728495622731016e-01
5.392564577574962641e+03 9.995291351595450013e-01
5.392592621708316983e+03 9.958970769585484550e-01
5.392620665987515167e+03 1.001601511531666766e+00
5.392648710412558103e+03 1.006530135680885119e+00
5.392676754983447609e+03 1.003446592927102143e+00
5.392704799700181866e+03 9.987421743912721084e-01
5.392732844562764512e+03 9.995998014675557819e-01
5.392760889571193729e+03 1.004534921755485755e+00
5.392788934725472245e+03 1.003835289159361155e+00
5.392816980025600060e+03 1.002972399010736870e+00
5.392845025471578083e+03 9.943303572361060771e-01
5.392873071063407224e+03 9.980158590846354150e-01
5.392901116801087483e+03 9.992813626777666824e-01
5.392929162684619769e+03 9.951759532357765670e-01
5.392957208714005901e+03 9.981292118022387916e-01
5.392985254889246789e+03 1.004594306592217823e+00
5.393013301210341524e+03 9.961132719124843327e-01
5.393041347677291014e+03 9.997765046784072851e-01
5.393069394290097080e+03 1.001076080605130425e+00
5.393097441048760629e+03 9.951510370899103730e-01
5.393125487953280754e+03 9.944767840996232566e-01
5.393153535003660181e+03 9.947319470721417423e-01
5.393181582199898912e+03 1.001103199014453660e+00
5.393209629541997856e+03 1.000537343562197368e+00
5.393237677029956103e+03 9.995904129041157660e-01
