# Corrected for radial velocity of 20.55 km/s
# 
# star name zetOri, line HGAMMA
# instrument: HERMES spectrograph @Mercator
# date of observation (midpoint)2018-10-11T02:39:06.751700
# BJD of observation (midpoint)2458402.6125531
# name of fits file: 00897625_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits
# 
# wavelength(Angstrom,air) normalised_flux
4.305714987551094964e+03 9.981082579150566403e-01
4.305737379502746080e+03 1.005923250478520714e+00
4.305759771570847079e+03 9.983674204371317806e-01
4.305782163755397050e+03 1.001626043620490014e+00
4.305804556056399633e+03 1.000861446915644937e+00
4.305826948473853008e+03 1.004101400627434471e+00
4.305849341007759904e+03 9.956340829052234831e-01
4.305871733658118501e+03 9.971616793238756715e-01
4.305894126424930619e+03 9.977800808843171332e-01
4.305916519308197167e+03 9.995373087718099070e-01
4.305938912307918145e+03 1.005075311672581906e+00
4.305961305424093553e+03 1.004785295003262968e+00
4.305983698656725210e+03 1.006689779292044618e+00
4.306006092005813116e+03 1.004843263317784174e+00
4.306028485471358181e+03 9.985102866930124499e-01
4.306050879053362223e+03 1.002202181035360073e+00
4.306073272751822515e+03 1.004407512295107052e+00
4.306095666566742693e+03 9.997139683688041067e-01
4.306118060498121849e+03 9.993636710333085871e-01
4.306140454545961802e+03 9.992078574181532113e-01
4.306162848710261642e+03 9.996930389934172156e-01
4.306185242991023188e+03 9.990904069667027043e-01
4.306207637388247349e+03 1.000181167321023912e+00
4.306230031901932307e+03 1.003278181609976505e+00
4.306252426532081699e+03 1.007268569587375096e+00
4.306274821278693707e+03 1.003495955847312882e+00
4.306297216141771059e+03 1.002281799031119247e+00
4.306319611121312846e+03 1.000693258747952230e+00
4.306342006217319977e+03 1.006511220570874610e+00
4.306364401429793361e+03 9.962624647689130031e-01
4.306386796758733908e+03 9.944712743812975653e-01
4.306409192204141618e+03 1.002187076936270405e+00
4.306431587766016492e+03 1.002394471463853742e+00
4.306453983444360347e+03 9.999387935581335318e-01
4.306476379239174094e+03 1.010438757398785414e+00
4.306498775150456822e+03 1.002943476944957446e+00
4.306521171178210352e+03 9.988655896749938368e-01
4.306543567322433773e+03 9.975662245398188022e-01
4.306565963583129815e+03 1.001379953099468256e+00
4.306588359960297566e+03 1.003717098492742599e+00
4.306610756453937938e+03 1.000310007904491094e+00
4.306633153064052749e+03 1.000896375200717392e+00
4.306655549790640180e+03 1.002507135998263799e+00
4.306677946633703868e+03 1.000316599206143575e+00
4.306700343593241996e+03 1.004051934975253690e+00
4.306722740669255472e+03 1.005837471663391991e+00
4.306745137861745206e+03 1.002944895925311997e+00
4.306767535170712108e+03 1.005086943706404057e+00
4.306789932596157087e+03 9.996025201431093521e-01
4.306812330138080142e+03 9.959425330375664132e-01
4.306834727796481275e+03 9.966856454354412476e-01
4.306857125571363213e+03 9.982340716225790445e-01
4.306879523462724137e+03 9.960655020220441358e-01
4.306901921470565867e+03 9.987224052110224015e-01
4.306924319594889312e+03 1.001167798626942496e+00
4.306946717835694471e+03 1.000896556353780165e+00
4.306969116192982256e+03 1.000755655349841122e+00
4.306991514666753574e+03 1.007922728636987619e+00
4.307013913257007516e+03 9.998310215869787854e-01
4.307036311963745902e+03 1.001798736933117606e+00
4.307058710786968732e+03 1.000552536866019970e+00
4.307081109726678733e+03 9.986414194678655543e-01
4.307103508782873178e+03 1.000602122418518425e+00
4.307125907955554794e+03 9.997440757068835060e-01
4.307148307244724492e+03 9.993349085851721547e-01
4.307170706650381362e+03 9.964278905315214763e-01
4.307193106172527223e+03 1.002294324670585102e+00
4.307215505811162075e+03 9.993896821629635330e-01
4.307237905566285917e+03 9.956686919212095477e-01
4.307260305437900570e+03 1.000257996186296294e+00
4.307282705426006942e+03 1.002585438071617041e+00
4.307305105530604123e+03 1.000967053651058647e+00
4.307327505751693934e+03 9.988700981203110230e-01
4.307349906089276374e+03 1.000835079734444966e+00
4.307372306543351442e+03 9.952548069027628008e-01
4.307394707113920958e+03 9.966374450892061532e-01
4.307417107800985832e+03 9.998634556836066833e-01
4.307439508604545154e+03 9.942942019239793261e-01
4.307461909524599832e+03 9.958215303034324561e-01
4.307484310561151688e+03 9.947544630430629198e-01
4.307506711714200719e+03 9.985587113879891286e-01
4.307529112983746927e+03 9.978780834798324229e-01
4.307551514369791221e+03 9.983157475505917144e-01
4.307573915872333600e+03 1.000423870278964733e+00
4.307596317491376794e+03 9.940954139045146132e-01
4.307618719226919893e+03 1.001305702622568683e+00
4.307641121078963806e+03 9.989935924484887320e-01
4.307663523047507624e+03 1.001335531175186810e+00
4.307685925132554985e+03 1.004845131067737096e+00
4.307708327334103160e+03 1.003247639888958487e+00
4.307730729652154878e+03 1.001114281655567151e+00
4.307753132086711958e+03 1.000786007093363184e+00
4.307775534637771671e+03 9.980427878942104147e-01
4.307797937305336745e+03 9.967450810372475711e-01
4.307820340089406272e+03 9.976591685764016892e-01
4.307842742989982980e+03 1.000197307867512597e+00
4.307865146007066869e+03 1.001465377438050641e+00
4.307887549140657029e+03 9.989209161309494656e-01
4.307909952390755279e+03 9.956183540866312409e-01
4.307932355757362529e+03 9.946113915481443746e-01
4.307954759240477870e+03 1.001389738863358136e+00
4.307977162840104029e+03 9.988333126925786898e-01
4.307999566556240097e+03 1.000507359498967297e+00
4.308021970388887894e+03 9.990142736264485679e-01
4.308044374338046509e+03 9.981954204781877671e-01
4.308066778403716853e+03 1.005095710674856369e+00
4.308089182585899835e+03 9.954058883203704688e-01
4.308111586884597273e+03 9.956514942684634439e-01
4.308133991299808258e+03 9.967503065289212705e-01
4.308156395831533700e+03 9.967306094518201265e-01
4.308178800479774509e+03 1.000648168482071609e+00
4.308201205244530684e+03 9.989946037869665840e-01
4.308223610125804043e+03 9.996385111383119249e-01
4.308246015123594589e+03 1.002698530336270100e+00
4.308268420237901410e+03 1.004363728725107263e+00
4.308290825468727235e+03 1.003545933741746721e+00
4.308313230816072064e+03 1.002858147280715428e+00
4.308335636279935898e+03 1.001757681626341601e+00
4.308358041860319645e+03 1.001122963380335351e+00
4.308380447557224215e+03 9.988045372277635225e-01
4.308402853370650519e+03 9.988574256157418674e-01
4.308425259300597645e+03 9.989030276271553266e-01
4.308447665347068323e+03 1.002108263112827968e+00
4.308470071510060734e+03 1.001256887210412838e+00
4.308492477789578516e+03 9.956151981341621049e-01
4.308514884185618939e+03 9.990200716914563461e-01
4.308537290698185643e+03 9.960514717683406349e-01
4.308559697327277718e+03 1.001544621370753285e+00
4.308582104072895163e+03 9.929166054737066371e-01
4.308604510935039798e+03 9.941518667767700324e-01
4.308626917913710713e+03 9.934206955352126167e-01
4.308649325008910637e+03 9.965757573875265729e-01
4.308671732220638660e+03 1.003841064347131606e+00
4.308694139548896601e+03 1.003272768202300380e+00
4.308716546993682641e+03 9.950855057016073646e-01
4.308738954555000419e+03 1.001080570005419057e+00
4.308761362232849024e+03 1.002954375458638969e+00
4.308783770027228456e+03 9.970134847896998664e-01
4.308806177938141445e+03 9.963782404127236036e-01
4.308828585965585262e+03 9.995733675261125883e-01
4.308850994109563544e+03 9.948584527729297244e-01
4.308873402370075382e+03 9.955705709170930007e-01
4.308895810747121686e+03 1.000797567033294255e+00
4.308918219240704275e+03 9.926173388367084405e-01
4.308940627850822239e+03 9.968376302531982702e-01
4.308963036577475577e+03 9.993585928896890902e-01
4.308985445420667020e+03 9.947873894553765917e-01
4.309007854380395656e+03 9.971193845427873681e-01
4.309030263456661487e+03 9.942060415262352624e-01
4.309052672649468150e+03 9.988772519079190948e-01
4.309075081958812916e+03 9.965403743433750572e-01
