# star name zetOri, line HALPHA
# instrument: HERMES spectrograph @Mercator
# date: AVERAGE of observations from October 2018
# 
# wavelength(Angstrom,air) normalised_flux
6.538011917108175112e+03 1.002926025311089209e+00
6.538045918161929876e+03 9.958170675632634916e-01
6.538079919392506781e+03 9.947118012570906886e-01
6.538113920799908556e+03 1.000355063532422983e+00
6.538147922384134290e+03 9.978205424731375617e-01
6.538181924145186713e+03 1.004116913000541622e+00
6.538215926083065824e+03 1.002263829400525941e+00
6.538249928197772533e+03 9.973813659442658519e-01
6.538283930489307750e+03 1.001943267092002765e+00
6.538317932957672383e+03 1.002845543874245404e+00
6.538351935602868252e+03 1.004254925994039427e+00
6.538385938424895357e+03 1.002992849929279728e+00
6.538419941423754608e+03 9.980401181491864726e-01
6.538453944599446913e+03 9.984570978691871268e-01
6.538487947951973183e+03 9.971805934234372337e-01
6.538521951481334327e+03 9.976880851431140229e-01
6.538555955187532163e+03 9.962004917415285821e-01
6.538589959070566692e+03 9.967253861896459011e-01
6.538623963130438824e+03 1.003601147840864849e+00
6.538657967367150377e+03 1.003552613033046770e+00
6.538691971780700442e+03 9.980391638229524354e-01
6.538725976371091747e+03 9.996596674988362796e-01
6.538759981138325202e+03 1.000172996940918768e+00
6.538793986082399897e+03 1.001840405574238702e+00
6.538827991203318561e+03 1.000789184826507583e+00
6.538861996501082103e+03 9.955018598644942429e-01
6.538896001975689614e+03 9.972644252071647397e-01
6.538930007627143823e+03 1.001037747500553188e+00
6.538964013455444729e+03 1.002143532267671278e+00
6.538998019460594151e+03 9.967095000153234352e-01
6.539032025642592089e+03 1.006437566412425433e+00
6.539066032001440362e+03 9.979520881294928758e-01
6.539100038537138971e+03 9.896392889198682985e-01
6.539134045249688825e+03 1.000235776634081253e+00
6.539168052139091742e+03 1.002255787498269379e+00
6.539202059205347723e+03 1.003281332820867844e+00
6.539236066448458587e+03 1.004321594095717307e+00
6.539270073868424333e+03 1.005061612124454440e+00
6.539304081465245872e+03 1.002790848851897954e+00
6.539338089238925932e+03 9.890159103002804653e-01
6.539372097189462693e+03 9.947649855635509741e-01
6.539406105316858884e+03 1.003027987817102229e+00
6.539440113621115415e+03 1.001004161314324792e+00
6.539474122102232286e+03 9.933987661827972104e-01
6.539508130760211316e+03 9.927435023526361979e-01
6.539542139595052504e+03 9.949600155713604899e-01
6.539576148606757670e+03 9.945004156241145088e-01
6.539610157795326813e+03 9.996597113197684958e-01
6.539644167160761754e+03 1.008799066327134897e+00
6.539678176703063400e+03 1.001248793442177432e+00
6.539712186422231753e+03 1.000556241795885759e+00
6.539746196318268630e+03 9.977307567963277224e-01
6.539780206391174033e+03 9.984852870207897579e-01
6.539814216640950690e+03 9.985470345065046160e-01
6.539848227067596781e+03 9.971276524609263836e-01
6.539882237671115945e+03 9.975291467182948457e-01
6.539916248451507272e+03 9.972630471690925313e-01
6.539950259408772581e+03 9.943592332862557504e-01
6.539984270542911872e+03 9.989209166348169688e-01
6.540018281853926965e+03 1.001347047804816537e+00
6.540052293341818768e+03 9.999430774908887321e-01
6.540086305006588191e+03 1.003394933873769324e+00
6.540120316848236143e+03 1.006835559765669963e+00
6.540154328866762626e+03 9.993519546475395643e-01
6.540188341062169457e+03 1.002090696258203462e+00
6.540222353434457546e+03 9.989538604378400688e-01
6.540256365983626893e+03 1.001477484394730721e+00
6.540290378709679317e+03 9.925613231090282262e-01
6.540324391612616637e+03 9.950331914029747482e-01
6.540358404692437944e+03 1.002126918160880065e+00
6.540392417949145056e+03 1.003942514239758887e+00
6.540426431382737974e+03 1.003726772412586010e+00
6.540460444993219426e+03 9.973006133699632292e-01
6.540494458780588502e+03 1.005904307919499807e+00
6.540528472744847932e+03 9.989750296141620689e-01
6.540562486885996805e+03 1.001650387893993743e+00
6.540596501204036940e+03 1.006323049374873380e+00
6.540630515698969248e+03 1.003016866859317568e+00
6.540664530370794637e+03 9.989516857185848364e-01
6.540698545219514017e+03 1.003099933670245969e+00
6.540732560245128298e+03 1.004130236892801564e+00
6.540766575447638388e+03 1.002410196275861809e+00
6.540800590827044289e+03 1.009018950915635759e+00
6.540834606383348728e+03 1.005095885519151189e+00
6.540868622116551705e+03 1.001379885141051584e+00
6.540902638026654131e+03 9.946592644510228176e-01
6.540936654113656914e+03 9.914416178530994772e-01
6.540970670377560964e+03 9.946921881501313845e-01
6.541004686818367190e+03 9.970500689017226525e-01
6.541038703436076503e+03 9.922847263739635881e-01
6.541072720230689811e+03 1.005277325530927968e+00
6.541106737202208024e+03 1.000523511695226686e+00
6.541140754350632051e+03 1.006209020533150644e+00
6.541174771675962802e+03 1.000837452005403971e+00
6.541208789178202096e+03 9.950959603202140791e-01
6.541242806857349933e+03 9.978736459245671764e-01
6.541276824713406313e+03 9.983508276792381064e-01
6.541310842746373964e+03 9.971752488140546156e-01
6.541344860956252887e+03 1.001294859130311243e+00
6.541378879343043991e+03 9.983335406354315600e-01
6.541412897906749095e+03 1.001132564015116966e+00
6.541446916647367289e+03 1.005161136320695370e+00
6.541480935564901301e+03 1.003515110208476058e+00
6.541514954659351133e+03 1.003055123481705335e+00
6.541548973930718603e+03 1.005581443595371383e+00
6.541582993379002801e+03 1.003396277565847372e+00
6.541617013004206456e+03 9.998156164083717989e-01
6.541651032806329567e+03 1.001911780121194973e+00
6.541685052785373045e+03 1.007715715301240822e+00
6.541719072941338709e+03 9.969322678026419915e-01
6.541753093274226558e+03 9.940021046324524212e-01
6.541787113784037501e+03 9.986420226785531762e-01
6.541821134470772449e+03 1.000307354039411400e+00
6.541855155334433221e+03 1.000290470101100615e+00
6.541889176375020725e+03 1.001915631768813375e+00
6.541923197592534052e+03 1.001025012741004971e+00
6.541957218986975931e+03 1.000055538568983104e+00
6.541991240558346362e+03 9.967563184604147919e-01
6.542025262306647164e+03 9.936450878508272799e-01
6.542059284231878337e+03 1.000201720313697029e+00
6.542093306334041699e+03 1.001041005703746878e+00
6.542127328613137252e+03 9.993208162890122592e-01
6.542161351069165903e+03 1.006913680929846899e+00
6.542195373702129473e+03 1.006305437623501442e+00
6.542229396512028870e+03 9.976167013473331568e-01
6.542263419498863186e+03 1.001797918186824621e+00
6.542297442662636058e+03 9.997440457012273241e-01
6.542331466003346577e+03 1.001680284327807202e+00
6.542365489520995652e+03 9.993064580017830822e-01
6.542399513215585102e+03 9.953148715877551123e-01
6.542433537087114928e+03 9.978261006761268703e-01
6.542467561135586948e+03 1.001755277207051709e+00
6.542501585361002071e+03 1.001775153265930252e+00
6.542535609763360299e+03 1.002919349084253842e+00
6.542569634342662539e+03 1.000897500680916430e+00
6.542603659098911521e+03 9.915697756488128789e-01
6.542637684032105426e+03 9.928300832474289406e-01
6.542671709142247892e+03 1.005049075380659573e+00
6.542705734429338008e+03 1.005583253080771566e+00
6.542739759893377595e+03 9.910402071425276072e-01
6.542773785534366652e+03 9.812831667715770090e-01
6.542807811352306999e+03 9.732698421725728410e-01
6.542841837347199544e+03 9.635717702488947323e-01
6.542875863519044287e+03 9.635350998132304889e-01
6.542909889867843958e+03 9.857887726276977070e-01
6.542943916393596737e+03 1.000805547993518285e+00
