# star name zetOri, line HALPHA
# instrument: HERMES spectrograph @Mercator
# date of observation (midpoint)2018-10-13T06:35:36.061776
# BJD of observation (midpoint)2458404.7769581
# name of fits file: 00897909_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits
# 
# wavelength(Angstrom,air) normalised_flux
6.538011917108175112e+03 9.995493485849109572e-01
6.538045918161929876e+03 9.984149534871887832e-01
6.538079919392506781e+03 1.002135987338503842e+00
6.538113920799908556e+03 1.001611604227153229e+00
6.538147922384134290e+03 1.004465829924485964e+00
6.538181924145186713e+03 9.991513942730881892e-01
6.538215926083065824e+03 9.929428955476424790e-01
6.538249928197772533e+03 9.978414857185303743e-01
6.538283930489307750e+03 9.970052487307001776e-01
6.538317932957672383e+03 1.000322566200925190e+00
6.538351935602868252e+03 1.003541775687627702e+00
6.538385938424895357e+03 1.001017806796934861e+00
6.538419941423754608e+03 1.002128914047851316e+00
6.538453944599446913e+03 1.002386772179944208e+00
6.538487947951973183e+03 1.002158022241466773e+00
6.538521951481334327e+03 1.008483865930475121e+00
6.538555955187532163e+03 1.001416983946962214e+00
6.538589959070566692e+03 1.001640728301802064e+00
6.538623963130438824e+03 1.000911631873075081e+00
6.538657967367150377e+03 9.970642631853636750e-01
6.538691971780700442e+03 9.939078085394105200e-01
6.538725976371091747e+03 9.928712422223248124e-01
6.538759981138325202e+03 9.948341926885975184e-01
6.538793986082399897e+03 9.982325435208615483e-01
6.538827991203318561e+03 1.002766259533953042e+00
6.538861996501082103e+03 1.001301392727365958e+00
6.538896001975689614e+03 1.002054335867527790e+00
6.538930007627143823e+03 9.987344626246789092e-01
6.538964013455444729e+03 1.000852105883808907e+00
6.538998019460594151e+03 1.003295459640957121e+00
6.539032025642592089e+03 9.969638195649030976e-01
6.539066032001440362e+03 9.964165368873435513e-01
6.539100038537138971e+03 1.002548232410672480e+00
6.539134045249688825e+03 9.974236369840496774e-01
6.539168052139091742e+03 9.999597607209931294e-01
6.539202059205347723e+03 1.000268412275404639e+00
6.539236066448458587e+03 9.957111203728614690e-01
6.539270073868424333e+03 9.963673943165145541e-01
6.539304081465245872e+03 9.997536545670709929e-01
6.539338089238925932e+03 1.003396056263088365e+00
6.539372097189462693e+03 1.004037263909365096e+00
6.539406105316858884e+03 9.984166249073278543e-01
6.539440113621115415e+03 9.952356275084505155e-01
6.539474122102232286e+03 9.995294929929733341e-01
6.539508130760211316e+03 1.000724265398463597e+00
6.539542139595052504e+03 9.996083233330332884e-01
6.539576148606757670e+03 9.988122385607445253e-01
6.539610157795326813e+03 9.994692241001700284e-01
6.539644167160761754e+03 1.000767356795289720e+00
6.539678176703063400e+03 9.994771943328986108e-01
6.539712186422231753e+03 9.987527083922144167e-01
6.539746196318268630e+03 1.003162922927549383e+00
6.539780206391174033e+03 1.003979918030989849e+00
6.539814216640950690e+03 9.987081632666477971e-01
6.539848227067596781e+03 1.000223268175649549e+00
6.539882237671115945e+03 1.000981977109019816e+00
6.539916248451507272e+03 9.983811377713582846e-01
6.539950259408772581e+03 9.982520545230679776e-01
6.539984270542911872e+03 9.910190196227923742e-01
6.540018281853926965e+03 1.001117437160194745e+00
6.540052293341818768e+03 9.984590533108071986e-01
6.540086305006588191e+03 9.970139215248947639e-01
6.540120316848236143e+03 9.994012632939581753e-01
6.540154328866762626e+03 1.000580787217324907e+00
6.540188341062169457e+03 9.987639117447396631e-01
6.540222353434457546e+03 9.978880878329348114e-01
6.540256365983626893e+03 9.930784333380751061e-01
6.540290378709679317e+03 9.983861326206798781e-01
6.540324391612616637e+03 9.984351880474300334e-01
6.540358404692437944e+03 9.989126475160982066e-01
6.540392417949145056e+03 9.969447962504859317e-01
6.540426431382737974e+03 9.972852131363768580e-01
6.540460444993219426e+03 1.000937299929322233e+00
6.540494458780588502e+03 1.003883092870332616e+00
6.540528472744847932e+03 1.001199244899446006e+00
6.540562486885996805e+03 1.002600753951250034e+00
6.540596501204036940e+03 1.002929498737128444e+00
6.540630515698969248e+03 1.004166363103763171e+00
6.540664530370794637e+03 1.006870735492051194e+00
6.540698545219514017e+03 1.002930958312179044e+00
6.540732560245128298e+03 1.000065721289336018e+00
6.540766575447638388e+03 1.002418623848340795e+00
6.540800590827044289e+03 1.001807439168987957e+00
