# star name zetOri, line BETA
# instrument: HERMES spectrograph @Mercator
# date of observation (midpoint)2018-10-11T05:56:34.720057
# BJD of observation (midpoint)2458402.7496937
# name of fits file: 00897645_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits
# 
# wavelength(Angstrom,air) normalised_flux
4.800015315775202907e+03 1.002646551781899431e+00
4.800040278344992657e+03 1.005651770010954182e+00
4.800065241044601862e+03 1.002952224159078698e+00
4.800090203874029612e+03 1.002001863726611042e+00
4.800115166833277726e+03 9.997755008618558481e-01
4.800140129922345295e+03 1.000499809157139541e+00
4.800165093141234138e+03 1.001107612836489524e+00
4.800190056489945164e+03 1.001183812792935113e+00
4.800215019968478373e+03 1.001019128594306640e+00
4.800239983576833765e+03 9.976123421838063443e-01
4.800264947315014069e+03 1.000806562622645002e+00
4.800289911183018376e+03 1.001678741954108443e+00
4.800314875180847594e+03 1.001384572495331859e+00
4.800339839308502633e+03 1.004680086847426379e+00
4.800364803565983493e+03 1.003669823303137809e+00
4.800389767953291994e+03 1.004144970597911080e+00
4.800414732470428135e+03 1.005201273094368242e+00
4.800439697117392825e+03 1.002568981510881141e+00
4.800464661894186975e+03 1.002759047376157620e+00
4.800489626800810584e+03 1.001072925826544724e+00
4.800514591837264561e+03 1.000175577078528111e+00
4.800539557003549817e+03 1.004886002754780350e+00
4.800564522299666351e+03 1.003913024107434104e+00
4.800589487725615982e+03 1.001596566433759383e+00
4.800614453281398710e+03 1.003247033833452484e+00
4.800639418967015445e+03 1.001315903096884785e+00
4.800664384782466186e+03 1.001630560359751954e+00
4.800689350727751844e+03 1.003808149847552400e+00
4.800714316802874237e+03 1.001525638313970790e+00
4.800739283007833365e+03 1.002468498129173602e+00
4.800764249342628318e+03 9.998628343639779370e-01
4.800789215807262735e+03 1.000343122229487625e+00
4.800814182401734797e+03 1.000577060543970553e+00
4.800839149126046323e+03 9.998315629877042587e-01
4.800864115980197312e+03 9.982034480728865233e-01
4.800889082964189583e+03 1.001029999967739448e+00
4.800914050078023138e+03 1.000978773156965929e+00
4.800939017321697975e+03 1.003520442422383363e+00
4.800963984695215913e+03 1.003041862566777631e+00
4.800988952198576953e+03 9.996867607265943478e-01
4.801013919831782914e+03 1.002228164227777718e+00
4.801038887594831976e+03 1.001849031757304775e+00
4.801063855487727778e+03 1.000463684106691842e+00
4.801088823510468501e+03 1.006564918830244126e+00
4.801113791663055963e+03 1.004476226000357242e+00
4.801138759945491074e+03 1.004726431139077114e+00
4.801163728357774744e+03 1.005747813444891392e+00
4.801188696899906063e+03 9.996713253766430496e-01
4.801213665571887759e+03 9.998134533746760866e-01
4.801238634373718924e+03 1.001641794410443875e+00
4.801263603305400466e+03 1.005009268326731986e+00
4.801288572366934204e+03 1.000578735996298763e+00
4.801313541558319230e+03 1.000806864439217403e+00
4.801338510879558271e+03 1.002583738888375375e+00
4.801363480330649509e+03 1.001521281018299403e+00
4.801388449911594762e+03 9.993529328559034308e-01
4.801413419622395850e+03 1.000557582215906072e+00
4.801438389463051863e+03 1.002378372844056287e+00
4.801463359433563710e+03 1.004841628224240724e+00
4.801488329533932301e+03 1.007421250076172115e+00
4.801513299764158546e+03 1.007376826308389983e+00
4.801538270124243354e+03 1.005493141936401713e+00
4.801563240614186725e+03 9.973285144579645545e-01
4.801588211233989568e+03 1.000721546071480672e+00
4.801613181983652794e+03 1.003927850236950636e+00
4.801638152863176401e+03 1.000295590765443610e+00
4.801663123872562210e+03 9.975937801748597789e-01
4.801688095011809310e+03 1.000224487570284371e+00
4.801713066280919520e+03 1.000795323877470056e+00
4.801738037679893750e+03 1.001386135866682237e+00
4.801763009208732001e+03 1.002698964538150328e+00
4.801787980867435181e+03 1.000464852739731958e+00
4.801812952656004200e+03 1.001367201275912722e+00
4.801837924574439057e+03 1.004884646079642119e+00
4.801862896622740664e+03 1.007797678723137524e+00
4.801887868800910837e+03 1.002834625632890386e+00
4.801912841108948669e+03 9.985816009514720815e-01
4.801937813546855068e+03 1.001642890728108082e+00
4.801962786114631854e+03 1.001228891002738042e+00
4.801987758812278116e+03 1.003283339377217587e+00
4.802012731639795675e+03 1.000320460034872960e+00
4.802037704597185439e+03 9.983640919439541461e-01
4.802062677684446498e+03 9.995828300382572085e-01
4.802087650901581583e+03 1.002271131001240212e+00
4.802112624248589782e+03 1.004976818252104609e+00
4.802137597725472915e+03 9.995808134916960297e-01
4.802162571332230073e+03 1.000755621008158069e+00
4.802187545068863983e+03 1.001877322494289846e+00
4.802212518935373737e+03 1.002089643302642719e+00
4.802237492931761153e+03 1.000947084958573319e+00
4.802262467058025322e+03 1.000585563595918659e+00
4.802287441314168063e+03 1.001874691985139343e+00
4.802312415700190286e+03 1.004115068872752481e+00
4.802337390216092899e+03 1.001970247338481723e+00
4.802362364861874994e+03 9.974066261238531128e-01
4.802387339637538389e+03 9.993254216621926256e-01
4.802412314543083994e+03 1.002377219044543022e+00
4.802437289578511809e+03 1.002378753317867188e+00
4.802462264743822743e+03 1.006261880552219212e+00
4.802487240039016797e+03 1.003536288082053751e+00
4.802512215464095789e+03 1.001277710138589017e+00
4.802537191019060629e+03 9.989847425613122001e-01
4.802562166703910407e+03 9.991964361483270940e-01
4.802587142518647852e+03 1.000913647387535743e+00
4.802612118463271145e+03 1.002195268430853492e+00
4.802637094537783014e+03 1.001020402009283439e+00
4.802662070742183460e+03 1.001166588014968273e+00
4.802687047076473391e+03 1.000129387973120343e+00
4.802712023540652808e+03 1.002711212934320306e+00
4.802737000134722621e+03 1.006930277016149011e+00
4.802761976858683738e+03 1.003444909075242863e+00
4.802786953712537070e+03 9.982958164630272302e-01
4.802811930696282616e+03 1.000049167657656612e+00
4.802836907809922195e+03 1.002549159833710846e+00
4.802861885053454898e+03 1.000348221909540536e+00
4.802886862426882544e+03 9.989425366795993133e-01
4.802911839930205133e+03 1.000183045952731886e+00
4.802936817563424484e+03 9.986627611714667951e-01
4.802961795326539686e+03 1.003650872370566161e+00
4.802986773219552560e+03 9.999093460505763531e-01
4.803011751242463106e+03 1.002646102344220136e+00
4.803036729395273142e+03 9.988497571895965654e-01
4.803061707677981758e+03 9.960924232533201472e-01
4.803086686090590774e+03 9.974155937980609954e-01
4.803111664633100190e+03 1.001579841972744189e+00
4.803136643305511825e+03 1.001272769334799362e+00
4.803161622107824769e+03 9.985191359113572140e-01
4.803186601040040841e+03 9.984945821084051376e-01
4.803211580102160042e+03 9.991079459602041357e-01
4.803236559294183280e+03 1.000724065670861140e+00
4.803261538616110556e+03 1.000902590592033681e+00
4.803286518067944598e+03 9.987340853228693360e-01
4.803311497649684497e+03 9.984660194240225772e-01
4.803336477361330253e+03 9.988807418640210933e-01
4.803361457202884594e+03 9.967503165693795131e-01
4.803386437174346611e+03 9.953272022540121666e-01
4.803411417275717213e+03 9.979630010777363891e-01
4.803436397506997309e+03 9.963234634713089566e-01
4.803461377868187810e+03 9.979960996452597044e-01
4.803486358359288715e+03 9.974631727683513915e-01
4.803511338980301844e+03 9.985527761333458097e-01
4.803536319731226286e+03 9.981460066960157196e-01
4.803561300612064770e+03 9.981069973613529989e-01
4.803586281622815477e+03 1.000723545882594490e+00
4.803611262763481136e+03 1.000440171502158915e+00
4.803636244034061747e+03 9.985625961224038338e-01
4.803661225434558219e+03 9.991307979214347768e-01
4.803686206964970552e+03 9.971746363084715847e-01
