# star name zetOri, line HDELTA
# instrument: HERMES spectrograph @Mercator
# date of observation (midpoint)2018-10-11T05:56:34.720057
# BJD of observation (midpoint)2458402.7496937
# name of fits file: 00897645_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits
# 
# wavelength(Angstrom,air) normalised_flux
4.062009043213246514e+03 9.930002334607885839e-01
4.062030167767557487e+03 9.969069504500160939e-01
4.062051292431727234e+03 9.974655292839759158e-01
4.062072417205756210e+03 1.002019770174483737e+00
4.062093542089644416e+03 1.003609185224438871e+00
4.062114667083393670e+03 9.984054625230468494e-01
4.062135792187003517e+03 9.965971883671591591e-01
4.062156917400474867e+03 9.905438317159179773e-01
4.062178042723808176e+03 1.002250009483889981e+00
4.062199168157004351e+03 1.007593807446401701e+00
4.062220293700063394e+03 9.925466025338806064e-01
4.062241419352986668e+03 9.920540959440670159e-01
4.062262545115773719e+03 1.006840155541580017e+00
4.062283670988426366e+03 1.000099539370835844e+00
4.062304796970944153e+03 9.965021806119099823e-01
4.062325923063327991e+03 1.000145354279034171e+00
4.062347049265578789e+03 1.000343784494047039e+00
4.062368175577696093e+03 1.003974067321117047e+00
4.062389301999681720e+03 1.001336950115000235e+00
4.062410428531535672e+03 1.003424181443347774e+00
4.062431555173258403e+03 1.002093348585005428e+00
4.062452681924850822e+03 1.000962101264444071e+00
4.062473808786313384e+03 9.952565343338143355e-01
4.062494935757646090e+03 9.949679179689964181e-01
4.062516062838850303e+03 9.999117273275206497e-01
4.062537190029926478e+03 1.003483742333699302e+00
4.062558317330875070e+03 1.008533088513958509e+00
4.062579444741696079e+03 1.006699101132572327e+00
4.062600572262390870e+03 9.992728521659433039e-01
4.062621699892959896e+03 9.997927308486307396e-01
4.062642827633403158e+03 1.000635504287284538e+00
4.062663955483722020e+03 1.000365295849259928e+00
4.062685083443916483e+03 1.000200409419013114e+00
4.062706211513987455e+03 1.005140716220231711e+00
4.062727339693935392e+03 1.001064221689025757e+00
4.062748467983760293e+03 9.980095391805723359e-01
4.062769596383463977e+03 1.000588718323343285e+00
4.062790724893045535e+03 1.009708201754676571e+00
4.062811853512506787e+03 1.008546218531835459e+00
4.062832982241847731e+03 9.986556048822996523e-01
4.062854111081069277e+03 1.005216186209923368e+00
