# star name zetOri, line HEIHEII4026
# instrument: HERMES spectrograph @Mercator
# date of observation (midpoint)2018-10-13T03:33:45.835896
# BJD of observation (midpoint)2458404.6506721
# name of fits file: 00897892_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits
# 
# wavelength(Angstrom,air) normalised_flux
4.014004351421558567e+03 1.001638762128231885e+00
4.014025226326567918e+03 1.001422240993040891e+00
4.014046101340138193e+03 9.943390469468645909e-01
4.014066976462269395e+03 9.976986002729872904e-01
4.014087851692961522e+03 9.964951575099610936e-01
4.014108727032216393e+03 9.988105606224509936e-01
4.014129602480033100e+03 9.940956295277308952e-01
4.014150478036413460e+03 9.884813940658264686e-01
4.014171353701357475e+03 9.957296061040981083e-01
4.014192229474865599e+03 9.961339058770195543e-01
4.014213105356938740e+03 1.002387042593551492e+00
4.014233981347577355e+03 9.994283140842089574e-01
4.014254857446781898e+03 9.949524925056378866e-01
4.014275733654553278e+03 9.950857555058915116e-01
4.014296609970891041e+03 1.005096008554509979e+00
4.014317486395797005e+03 1.002144710797027827e+00
4.014338362929271170e+03 1.007209410585875542e+00
4.014359239571313992e+03 1.001726040817348062e+00
4.014380116321926380e+03 9.999233239219299518e-01
4.014400993181108333e+03 1.004573785935096719e+00
4.014421870148861217e+03 9.989274005803807643e-01
4.014442747225185030e+03 9.902685312992820510e-01
4.014463624410080229e+03 9.907668458850943383e-01
4.014484501703547721e+03 9.984928657082331460e-01
4.014505379105588418e+03 9.995918949880699955e-01
4.014526256616201863e+03 9.938674495808584863e-01
4.014547134235389422e+03 9.943238308788802104e-01
4.014568011963151548e+03 1.006052774836327268e+00
4.014588889799488243e+03 1.000175411743470466e+00
4.014609767744400870e+03 9.984178008947968141e-01
4.014630645797889883e+03 1.000086263803384723e+00
4.014651523959955284e+03 9.975093903686338415e-01
4.014672402230597982e+03 9.966053557639842353e-01
4.014693280609818430e+03 9.952430647189188795e-01
4.014714159097617539e+03 9.915069520753888588e-01
4.014735037693995309e+03 9.955458867609175977e-01
4.014755916398952650e+03 1.001603492759749914e+00
4.014776795212490470e+03 9.941387153706969793e-01
4.014797674134608769e+03 9.940295241434420337e-01
4.014818553165308003e+03 1.003215936385368101e+00
4.014839432304589081e+03 1.004037272503081502e+00
4.014860311552452913e+03 9.945584564618418222e-01
4.014881190908899498e+03 9.883929436639693478e-01
4.014902070373929291e+03 9.978692746986733697e-01
4.014922949947543202e+03 1.000944343580868257e+00
4.014943829629742140e+03 9.976447266260989322e-01
4.014964709420526106e+03 9.952332008634443561e-01
4.014985589319895553e+03 1.000103764108870363e+00
4.015006469327851391e+03 9.969509554349029745e-01
4.015027349444394076e+03 9.999017582298573847e-01
4.015048229669524517e+03 1.000702535578701147e+00
4.015069110003242713e+03 1.003563705108944104e+00
4.015089990445549120e+03 1.004487770009694803e+00
4.015110870996445101e+03 9.978765180552544578e-01
4.015131751655930657e+03 9.941114766240891631e-01
4.015152632424006697e+03 9.974672890194589137e-01
4.015173513300673221e+03 9.919224333003632266e-01
4.015194394285931594e+03 9.940209901067437182e-01
4.015215275379781360e+03 9.895490574368571712e-01
4.015236156582223884e+03 9.942930288472294764e-01
4.015257037893259621e+03 9.951642390453351306e-01
4.015277919312889026e+03 9.998360937521776348e-01
4.015298800841112552e+03 1.000962036625421048e+00
4.015319682477930655e+03 9.967522705991165299e-01
4.015340564223344245e+03 1.004349157366750900e+00
4.015361446077353776e+03 9.947546257415906812e-01
4.015382328039960157e+03 9.925636806269906298e-01
4.015403210111162934e+03 1.001075141344359931e+00
4.015424092290963927e+03 9.917314129904616360e-01
4.015444974579362679e+03 9.948937587723883924e-01
4.015465856976360101e+03 1.005575714454942204e+00
4.015486739481957102e+03 1.000863502560495943e+00
4.015507622096153682e+03 1.001045938479754094e+00
4.015528504818950751e+03 9.965081251735119494e-01
4.015549387650348763e+03 9.968583595374508333e-01
4.015570270590348628e+03 9.943012906718928789e-01
4.015591153638950345e+03 9.992880983317686816e-01
4.015612036796154825e+03 1.004455032093351630e+00
4.015632920061962977e+03 1.003112398021252627e+00
4.015653803436374346e+03 1.000337244602188536e+00
4.015674686919390297e+03 9.931199128807247645e-01
4.015695570511011283e+03 9.964232085149390405e-01
4.015716454211237760e+03 1.002830461909651971e+00
4.015737338020070183e+03 1.006022757486277897e+00
4.015758221937509006e+03 1.007199405729734654e+00
4.015779105963555594e+03 9.931699046197146608e-01
4.015799990098209491e+03 1.001009282946196732e+00
4.015820874341472063e+03 1.001075522533377837e+00
4.015841758693343309e+03 9.981302725137962684e-01
4.015862643153824138e+03 9.942120650982365637e-01
4.015883527722915005e+03 1.002303990836793446e+00
4.015904412400616366e+03 1.002292109556340627e+00
4.015925297186929129e+03 1.002461737211732595e+00
4.015946182081853294e+03 9.890918361880913778e-01
4.015967067085389772e+03 1.001646372137802610e+00
4.015987952197539471e+03 1.005833796348051701e+00
4.016008837418302392e+03 1.004479053848741588e+00
4.016029722747678989e+03 1.005091543761056361e+00
4.016050608185670626e+03 1.004010122285864171e+00
4.016071493732276849e+03 1.006783578820130698e+00
4.016092379387499022e+03 1.004425866828878133e+00
4.016113265151337600e+03 1.001288343576843820e+00
4.016134151023792583e+03 9.965951311255327738e-01
4.016155037004865335e+03 1.008470903446666123e+00
4.016175923094555856e+03 1.000025010869976638e+00
4.016196809292865055e+03 9.914950553385183385e-01
4.016217695599792933e+03 9.989933428834163465e-01
4.016238582015340853e+03 1.002054840278761461e+00
4.016259468539508816e+03 1.000729044698977166e+00
4.016280355172297277e+03 1.003238105552701098e+00
4.016301241913707599e+03 9.990343960808470980e-01
4.016322128763739329e+03 1.000765305301676955e+00
4.016343015722393829e+03 9.984352679120133134e-01
4.016363902789671101e+03 9.949365089561315045e-01
4.016384789965572054e+03 1.002424043069708892e+00
4.016405677250097142e+03 1.007949616191975872e+00
4.016426564643247275e+03 9.989710017720162538e-01
4.016447452145021998e+03 9.981424993609749885e-01
4.016468339755423131e+03 9.953529439308542726e-01
4.016489227474450672e+03 9.964992450804045498e-01
4.016510115302105078e+03 9.983500287679967222e-01
4.016531003238386802e+03 9.938406287744599998e-01
4.016551891283296754e+03 9.979274612195576655e-01
4.016572779436835390e+03 1.002229546276582450e+00
4.016593667699003163e+03 9.974846776762107403e-01
4.016614556069800983e+03 9.995551823053148155e-01
4.016635444549229305e+03 1.009291691787018941e+00
4.016656333137288129e+03 1.004054783160704734e+00
4.016677221833978820e+03 1.001714030496208885e+00
4.016698110639301376e+03 9.975502128286855008e-01
4.016718999553256253e+03 1.006948373836319632e+00
4.016739888575844816e+03 1.005262932195676751e+00
4.016760777707066609e+03 1.013465038868269774e+00
4.016781666946923451e+03 1.009866474203868547e+00
4.016802556295414433e+03 9.883992255164389951e-01
4.016823445752541375e+03 9.960460795864811701e-01
4.016844335318304275e+03 1.006170333881047485e+00
4.016865224992703588e+03 9.984193935936120923e-01
4.016886114775739770e+03 1.002234266254999007e+00
4.016907004667414185e+03 1.009112723722539462e+00
4.016927894667726832e+03 1.004148211498922860e+00
4.016948784776678167e+03 1.004400315975053859e+00
4.016969674994268644e+03 9.994862267273657563e-01
