# star name zetOri, line HEI4471
# instrument: HERMES spectrograph @Mercator
# date of observation (midpoint)2018-10-11T04:29:31.189689
# BJD of observation (midpoint)2458402.6892312
# name of fits file: 00897638_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits
# 
# wavelength(Angstrom,air) normalised_flux
4.460012509882908489e+03 9.990742298778022557e-01
4.460035704261721548e+03 1.001384578596364650e+00
4.460058898761158162e+03 1.002403304295587327e+00
4.460082093381218328e+03 1.000168381770125237e+00
4.460105288121902049e+03 9.990056558524661456e-01
4.460128482983210233e+03 1.000389206228360361e+00
4.460151677965144700e+03 1.002665678764827595e+00
4.460174873067704539e+03 9.997867609532193889e-01
4.460198068290890660e+03 9.990074556859440680e-01
4.460221263634703973e+03 1.001194879607328447e+00
4.460244459099145388e+03 1.000942528977612156e+00
4.460267654684214904e+03 9.986521340810475822e-01
4.460290850389914340e+03 9.973970165510841479e-01
4.460314046216242787e+03 1.000764857404037755e+00
4.460337242163202063e+03 1.003432219608185960e+00
4.460360438230791260e+03 1.000386822813775556e+00
4.460383634419013106e+03 9.998397693753132698e-01
4.460406830727866691e+03 9.977524469207665891e-01
4.460430027157353834e+03 9.980349909595581659e-01
4.460453223707473626e+03 1.001139074009228080e+00
4.460476420378227886e+03 1.002407086611766029e+00
4.460499617169616613e+03 1.000929161046306692e+00
4.460522814081640718e+03 9.978173438159337882e-01
4.460546011114300200e+03 1.001651059147399714e+00
4.460569208267597787e+03 1.006648763736388341e+00
4.460592405541531662e+03 1.001973592686476566e+00
4.460615602936103642e+03 9.983308874923974008e-01
4.460638800451313728e+03 1.001829082898533230e+00
4.460661998087162829e+03 1.002666955120542047e+00
4.460685195843651854e+03 9.992146596446968010e-01
4.460708393720781714e+03 1.000935571526741619e+00
4.460731591718552409e+03 1.003393028612110882e+00
4.460754789836964846e+03 1.003011625465735301e+00
4.460777988076019028e+03 9.999797536532438746e-01
4.460801186435715863e+03 9.981960193634997758e-01
4.460824384916057170e+03 9.995339162387022469e-01
4.460847583517042040e+03 9.995258662081331069e-01
4.460870782238671381e+03 9.984834643015263467e-01
4.460893981080947015e+03 9.970087274710335290e-01
4.460917180043868029e+03 9.983378127211099962e-01
4.460940379127435335e+03 1.001464349591218994e+00
4.460963578331650751e+03 1.002157350329009988e+00
4.460986777656513368e+03 1.002580454070096661e+00
4.461009977102025005e+03 9.959974785923386698e-01
4.461033176668185661e+03 9.948688073502028884e-01
4.461056376354995336e+03 9.976106300143368077e-01
4.461079576162456760e+03 9.963176125768051783e-01
4.461102776090568113e+03 9.988176570976737834e-01
4.461125976139332124e+03 1.003608565271476349e+00
4.461149176308747883e+03 9.984944278162648512e-01
4.461172376598816300e+03 9.941068238377142041e-01
4.461195577009538283e+03 9.978196838319390860e-01
4.461218777540914743e+03 1.001252169419829086e+00
