# star name zetOri, line HEI4713
# instrument: HERMES spectrograph @Mercator
# date: AVERAGE of observations from October 2018
# 
# wavelength(Angstrom,air) normalised_flux
4.701001088679317036e+03 9.977426453749830282e-01
4.701025536323761116e+03 9.972090123842439757e-01
4.701049984095344371e+03 9.942992796588403515e-01
4.701074431994068618e+03 1.001892590721628507e+00
4.701098880019935677e+03 1.007038948969725567e+00
4.701123328172944639e+03 1.004895240251029831e+00
4.701147776453096412e+03 9.975643161505872714e-01
4.701172224860391907e+03 9.999051212907612562e-01
4.701196673394832032e+03 9.984965942672671124e-01
4.701221122056417698e+03 1.002539971018543863e+00
4.701245570845147995e+03 9.929139708411425236e-01
4.701270019761025651e+03 9.938792806751621800e-01
4.701294468804049757e+03 9.970343214228372108e-01
4.701318917974222131e+03 9.955162173807629022e-01
4.701343367271542775e+03 1.000700594875960414e+00
4.701367816696011687e+03 1.004636899120355142e+00
4.701392266247630687e+03 9.974968639430084050e-01
4.701416715926400684e+03 9.965078216055938132e-01
4.701441165732320769e+03 9.981850965739312853e-01
4.701465615665393670e+03 9.971996017749115149e-01
4.701490065725617569e+03 9.975671475885299344e-01
4.701514515912995194e+03 1.003666729418849490e+00
4.701538966227526544e+03 1.002649588892556398e+00
4.701563416669211620e+03 9.971328745096720292e-01
4.701587867238052240e+03 9.997693810564547423e-01
4.701612317934048406e+03 1.001189850860698893e+00
4.701636768757201025e+03 9.933287516800795025e-01
4.701661219707510099e+03 1.001831472171802018e+00
4.701685670784977447e+03 1.001720028445206356e+00
4.701710121989603067e+03 9.966853031717644029e-01
4.701734573321386961e+03 9.900950477537620031e-01
4.701759024780330947e+03 1.000113158221023202e+00
4.701783476366435025e+03 9.956361129734773163e-01
4.701807928079700105e+03 9.965218522401533274e-01
4.701832379920127096e+03 9.964216252021054210e-01
4.701856831887715998e+03 1.000788778458477912e+00
4.701881283982467721e+03 9.997381615126386123e-01
4.701905736204383174e+03 9.941217985033412585e-01
4.701930188553462358e+03 9.996367261012929495e-01
4.701954641029707091e+03 9.984428080939032890e-01
4.701979093633117373e+03 9.961036399039531197e-01
4.702003546363693204e+03 1.001672016015564326e+00
4.702027999221436403e+03 1.002375732558497878e+00
4.702052452206346970e+03 1.001362459405772842e+00
4.702076905318426725e+03 9.992918604750599121e-01
4.702101358557673848e+03 1.001183143885693960e+00
4.702125811924091977e+03 1.002269548844993974e+00
4.702150265417679293e+03 1.000998994333506920e+00
4.702174719038437615e+03 9.990252728271971083e-01
4.702199172786367853e+03 9.999182455299250316e-01
4.702223626661470007e+03 1.000049990816125334e+00
4.702248080663744986e+03 1.000124787118781278e+00
4.702272534793192790e+03 9.994582979585979743e-01
4.702296989049815238e+03 1.003176373699515844e+00
4.702321443433613240e+03 1.004951139942724225e+00
4.702345897944585886e+03 1.003861442639608859e+00
4.702370352582734995e+03 1.000745689142881423e+00
4.702394807348060567e+03 1.001408183382492822e+00
4.702419262240564422e+03 9.997930316781782345e-01
4.702443717260245649e+03 1.001971941739922212e+00
4.702468172407106067e+03 1.002073600190161340e+00
4.702492627681145677e+03 9.982936448748298552e-01
4.702517083082365389e+03 1.001211793797545324e+00
4.702541538610766111e+03 1.002293501618048976e+00
4.702565994266347843e+03 1.004232064330232710e+00
4.702590450049111496e+03 1.000684318750015622e+00
4.702614905959058888e+03 1.002390140415805098e+00
4.702639361996189109e+03 1.006933293438775356e+00
4.702663818160503070e+03 9.981562252628604082e-01
4.702688274452002588e+03 1.000485537223246846e+00
4.702712730870686755e+03 1.002656075098992794e+00
4.702737187416557390e+03 1.002432236802190957e+00
4.702761644089614492e+03 1.003260444000086071e+00
4.702786100889859881e+03 1.003621829518830388e+00
4.702810557817292647e+03 1.004403772305294096e+00
4.702835014871913700e+03 1.000264013271718877e+00
4.702859472053724858e+03 9.979034602276097843e-01
4.702883929362725212e+03 1.003822775929997135e+00
4.702908386798916581e+03 1.006783277481728911e+00
4.702932844362299875e+03 1.001466933950634131e+00
4.702957302052875093e+03 1.002679921685146747e+00
4.702981759870642236e+03 1.000449253859938326e+00
4.703006217815603122e+03 9.969022263985946042e-01
4.703030675887757752e+03 9.987314566149382289e-01
4.703055134087107945e+03 1.004242131795453075e+00
4.703079592413652790e+03 1.003108350678024507e+00
4.703104050867393198e+03 1.005266884745600553e+00
4.703128509448330988e+03 1.000067013312449404e+00
4.703152968156466159e+03 1.003026815202460398e+00
4.703177426991798711e+03 1.003633560675903702e+00
4.703201885954330464e+03 9.971399213962350849e-01
4.703226345044061418e+03 9.977387048488399746e-01
4.703250804260991572e+03 1.004062576559530129e+00
4.703275263605122746e+03 9.988634530349063123e-01
4.703299723076455848e+03 9.941903024655787124e-01
4.703324182674989970e+03 9.928846649964532256e-01
4.703348642400727840e+03 9.980359660067951166e-01
4.703373102253667639e+03 9.964134789284593285e-01
4.703397562233812096e+03 9.975458152508219767e-01
4.703422022341161210e+03 9.969273929927456868e-01
4.703446482575714981e+03 9.954695713125534251e-01
4.703470942937475229e+03 9.978733752831437931e-01
4.703495403426441953e+03 1.004308495874886020e+00
4.703519864042616064e+03 1.001330991362239908e+00
4.703544324785997560e+03 9.975836914981600634e-01
4.703568785656588261e+03 9.944583081136785241e-01
4.703593246654387258e+03 9.954813147124812467e-01
4.703617707779397279e+03 9.979277002506465877e-01
4.703642169031617414e+03 9.946187704580302658e-01
4.703666630411048573e+03 9.992102654889125635e-01
4.703691091917690756e+03 9.993772553718581753e-01
4.703715553551546691e+03 9.933592740076924166e-01
4.703740015312615469e+03 9.971474505494521967e-01
4.703764477200898000e+03 9.938280448955558732e-01
4.703788939216395192e+03 9.972083417894357371e-01
4.703813401359107047e+03 9.947646216283096976e-01
4.703837863629035382e+03 9.985287504932982561e-01
4.703862326026180199e+03 1.001764685814218181e+00
4.703886788550541496e+03 1.000045453134020157e+00
4.703911251202121093e+03 1.002277144402053288e+00
4.703935713980919900e+03 1.001179812469646935e+00
4.703960176886937006e+03 1.000287763200958135e+00
4.703984639920173322e+03 1.002321964070464366e+00
4.704009103080631576e+03 9.995656388766367417e-01
4.704033566368309948e+03 9.987082627987248218e-01
4.704058029783210259e+03 1.001590013324599404e+00
4.704082493325333417e+03 1.002852275703257856e+00
4.704106956994678512e+03 9.989023003935647571e-01
4.704131420791248274e+03 1.000439106870178563e+00
4.704155884715042703e+03 9.971128411157109683e-01
4.704180348766061798e+03 9.935193459378814929e-01
4.704204812944307378e+03 9.973830499406592942e-01
4.704229277249778534e+03 9.980854891190440448e-01
4.704253741682477084e+03 1.000222210700423275e+00
