# star name zetOri, line HEII4200
# instrument: HERMES spectrograph @Mercator
# date: AVERAGE of observations from October 2018
# 
# wavelength(Angstrom,air) normalised_flux
4.193021406784787359e+03 9.967509098625951802e-01
4.193043212671355832e+03 1.000072140027050693e+00
4.193065018671325561e+03 9.986005695373264546e-01
4.193086824784697455e+03 1.003152202678795124e+00
4.193108631011473335e+03 1.002168095272323090e+00
4.193130437351652290e+03 1.003488410267629360e+00
4.193152243805236139e+03 1.003974996283326204e+00
4.193174050372224883e+03 1.000257061595601238e+00
4.193195857052618521e+03 1.001212017257635312e+00
4.193217663846417963e+03 1.004972521642473859e+00
4.193239470753625028e+03 1.002080826522906642e+00
4.193261277774238806e+03 1.004365084363044724e+00
4.193283084908260207e+03 1.003363374402400421e+00
4.193304892155690140e+03 9.987095056149516425e-01
4.193326699516529516e+03 1.003170419361171906e+00
4.193348506990777423e+03 1.001700035063265215e+00
4.193370314578436592e+03 9.973738895371986324e-01
4.193392122279506111e+03 1.001864724994584899e+00
4.193413930093986892e+03 1.006865317282398919e+00
4.193435738021879843e+03 1.002804699368747610e+00
4.193457546063184964e+03 9.983894625606507534e-01
4.193479354217904074e+03 1.002472458581830317e+00
4.193501162486036264e+03 1.000347860920735465e+00
4.193522970867582444e+03 9.945454111544608233e-01
4.193544779362543522e+03 1.004248925928851177e+00
4.193566587970921319e+03 1.007102678439133925e+00
4.193588396692714014e+03 1.000812554793453435e+00
4.193610205527923426e+03 9.987939967518062456e-01
4.193632014476550466e+03 1.001141616867634809e+00
4.193653823538595134e+03 1.002485030357927132e+00
4.193675632714058338e+03 9.992413365954183613e-01
4.193697442002940988e+03 9.962360123086346775e-01
4.193719251405242176e+03 1.003847142835959660e+00
4.193741060920964628e+03 1.005455968076648610e+00
4.193762870550107436e+03 1.006087557787505249e+00
4.193784680292671510e+03 1.009683900525509159e+00
4.193806490148657758e+03 1.005999506187274406e+00
4.193828300118067091e+03 1.004663315685172753e+00
4.193850110200898598e+03 1.006572980914808069e+00
4.193871920397154099e+03 9.981435912795797449e-01
4.193893730706834504e+03 1.002379008742565691e+00
4.193915541129938902e+03 1.004208813773612041e+00
4.193937351666470022e+03 1.011410359368441592e+00
4.193959162316426045e+03 1.001398899803398024e+00
4.193980973079809701e+03 1.004315026295030000e+00
4.194002783956620078e+03 1.001110787768894728e+00
4.194024594946858997e+03 1.003437260512234586e+00
4.194046406050525547e+03 1.004826607966703866e+00
4.194068217267621549e+03 1.008952098775806272e+00
4.194090028598147001e+03 1.004471556609870753e+00
4.194111840042102813e+03 1.001497115399298421e+00
4.194133651599488985e+03 1.004674584803460391e+00
4.194155463270307337e+03 1.000362557466822899e+00
4.194177275054557867e+03 1.002668932438859128e+00
4.194199086952240577e+03 1.002587124430853960e+00
4.194220898963356376e+03 1.005443012854078555e+00
4.194242711087905263e+03 1.002172176632993628e+00
4.194264523325889968e+03 1.000892594225212928e+00
4.194286335677308671e+03 9.992627886851698227e-01
4.194308148142163191e+03 1.001049370634703006e+00
4.194329960720453528e+03 1.001351797209909078e+00
4.194351773412180592e+03 9.987330666575687799e-01
4.194373586217345292e+03 9.951582017477326181e-01
4.194395399135947628e+03 9.991063668524076125e-01
4.194417212167989419e+03 1.000502286436538490e+00
4.194439025313468846e+03 9.993884790188846123e-01
4.194460838572388639e+03 1.000633326728502359e+00
4.194482651944748795e+03 1.002572300780242065e+00
4.194504465430550226e+03 1.001925351529467934e+00
4.194526279029792022e+03 9.997350761999382884e-01
4.194548092742476911e+03 9.974296535981228562e-01
4.194569906568603983e+03 9.985714168687387371e-01
4.194591720508174149e+03 9.997247069447631196e-01
4.194613534561188317e+03 1.000841675946986253e+00
4.194635348727646488e+03 9.973747769015408604e-01
4.194657163007549570e+03 9.981446364295732954e-01
4.194678977400898475e+03 1.000229687085034014e+00
4.194700791907694111e+03 9.977079836630970977e-01
4.194722606527935568e+03 1.005680610453172585e+00
4.194744421261624666e+03 1.002508458265503721e+00
4.194766236108762314e+03 9.961875591825413156e-01
4.194788051069347603e+03 1.000493823009440675e+00
4.194809866143382351e+03 9.992821822046745739e-01
4.194831681330866559e+03 9.990337363363865908e-01
4.194853496631802045e+03 1.000230674840226097e+00
4.194875312046186991e+03 9.994849228441065048e-01
4.194897127574024125e+03 9.968733472136701579e-01
4.194918943215313448e+03 9.994268774992157711e-01
4.194940758970055867e+03 1.002601985345408675e+00
4.194962574838250475e+03 1.000904029537104334e+00
4.194984390819900000e+03 9.980049864839444229e-01
4.195006206915002622e+03 9.926258101328283567e-01
4.195028023123561070e+03 9.939843275622960439e-01
4.195049839445575344e+03 1.000998005439595717e+00
4.195071655881045444e+03 1.003338454208937636e+00
4.195093472429972280e+03 9.972965377647063923e-01
4.195115289092356761e+03 9.953935432347931211e-01
4.195137105868198887e+03 9.966784085190782960e-01
4.195158922757499568e+03 9.950919487049018075e-01
4.195180739760259712e+03 9.976106793637785630e-01
4.195202556876479321e+03 1.001183633068100320e+00
4.195224374106159303e+03 1.002295345305150187e+00
4.195246191449300568e+03 1.002571640880949744e+00
4.195268008905903116e+03 1.002701850843382481e+00
4.195289826475966947e+03 9.997755235360493709e-01
4.195311644159494790e+03 9.964143672165007848e-01
4.195333461956484825e+03 9.963945153222448781e-01
4.195355279866939782e+03 9.997469866367723057e-01
4.195377097890857840e+03 9.979873978835432924e-01
4.195398916028241729e+03 9.932429987291476747e-01
4.195420734279091448e+03 9.921551084820390276e-01
4.195442552643406998e+03 1.002259842838204573e+00
4.195464371121189288e+03 1.001450810415400072e+00
4.195486189712439227e+03 9.946361713500392332e-01
4.195508008417157725e+03 9.967267980720799780e-01
4.195529827235343873e+03 1.001026949548855516e+00
4.195551646166999490e+03 9.898575684670242181e-01
4.195573465212125484e+03 9.924295183146959465e-01
4.195595284370720947e+03 9.880410573392444107e-01
4.195617103642787697e+03 9.955262643663059796e-01
4.195638923028325735e+03 9.984053669160060096e-01
4.195660742527335969e+03 9.941071663679381665e-01
4.195682562139819311e+03 9.998956526296521874e-01
4.195704381865775758e+03 1.001917158592318113e+00
4.195726201705206222e+03 9.936204860025557029e-01
4.195748021658110702e+03 9.919971381181770242e-01
4.195769841724491016e+03 9.916658972274824402e-01
4.195791661904346256e+03 9.950962047191425075e-01
4.195813482197678240e+03 9.890091389807653677e-01
4.195835302604486969e+03 1.000114851677889050e+00
4.195857123124772443e+03 9.924470005173831044e-01
4.195878943758536479e+03 9.918734927273257229e-01
4.195900764505779080e+03 9.985891783265303800e-01
4.195922585366501153e+03 9.957845343988264153e-01
4.195944406340702699e+03 9.950004481199156148e-01
4.195966227428385537e+03 9.930093055536504121e-01
4.195988048629547848e+03 9.875321137711436936e-01
4.196009869944193269e+03 9.889904463794317868e-01
4.196031691372319983e+03 9.924027759989774156e-01
4.196053512913928898e+03 9.923870069301536923e-01
4.196075334569021834e+03 9.934131810211157543e-01
4.196097156337598790e+03 9.981780006379378234e-01
4.196118978219659766e+03 9.872007432651072056e-01
4.196140800215206582e+03 9.855449754185987565e-01
4.196162622324238328e+03 9.851729256908119403e-01
4.196184444546756822e+03 9.909784678621152976e-01
4.196206266882762066e+03 9.977658313624879760e-01
4.196228089332254967e+03 9.943994869374226386e-01
4.196249911895236437e+03 9.885579915415504404e-01
4.196271734571705565e+03 9.933758218826388431e-01
4.196293557361664170e+03 9.947027051557605359e-01
4.196315380265112253e+03 9.924466356860666139e-01
4.196337203282051632e+03 9.878790570174522667e-01
4.196359026412481398e+03 9.902978611466499714e-01
4.196380849656403370e+03 9.925217068250522523e-01
4.196402673013816639e+03 9.906085938284308057e-01
4.196424496484723022e+03 9.920704637440853624e-01
4.196446320069123431e+03 9.908974704629111008e-01
4.196468143767016954e+03 9.880965775259241690e-01
4.196489967578405412e+03 9.944468499275211926e-01
4.196511791503288805e+03 9.919700769535398921e-01
4.196533615541668041e+03 9.929736979157743892e-01
4.196555439693544031e+03 9.885892648707760300e-01
4.196577263958916774e+03 9.884341748113305570e-01
4.196599088337786270e+03 9.920684185676347244e-01
4.196620912830154339e+03 9.908039445973392256e-01
4.196642737436021889e+03 9.963835977108442821e-01
4.196664562155387102e+03 9.945721639316145168e-01
4.196686386988253616e+03 9.930379522485411892e-01
4.196708211934619612e+03 9.906896851056741227e-01
4.196730036994486909e+03 9.901480504565919327e-01
4.196751862167856416e+03 9.861454751004740116e-01
4.196773687454727224e+03 9.917429447766800132e-01
4.196795512855102061e+03 9.981703098533992735e-01
4.196817338368979108e+03 9.899528855786814407e-01
4.196839163996361094e+03 9.832996636234458965e-01
4.196860989737247110e+03 9.923500842360966079e-01
4.196882815591638064e+03 9.930504304488433354e-01
4.196904641559534866e+03 9.869491015714456639e-01
4.196926467640938426e+03 9.941759612507783395e-01
4.196948293835848744e+03 9.956300019923600697e-01
4.196970120144266730e+03 9.905498344463410376e-01
4.196991946566192382e+03 9.920770036040378326e-01
4.197013773101627521e+03 9.873573071631958076e-01
4.197035599750571237e+03 9.871618561249874135e-01
4.197057426513025348e+03 9.906842768959370771e-01
4.197079253388989855e+03 9.972182784731274952e-01
4.197101080378464758e+03 9.955545938627170521e-01
4.197122907481451875e+03 9.929687572007453999e-01
4.197144734697952117e+03 9.895953597045532568e-01
4.197166562027963664e+03 9.923497575574110607e-01
4.197188389471489245e+03 9.883386967378958721e-01
4.197210217028529769e+03 9.952148404304043128e-01
4.197232044699083417e+03 9.900438063629587448e-01
4.197253872483152918e+03 9.922119617151529125e-01
4.197275700380738272e+03 9.786823925669184687e-01
4.197297528391840387e+03 9.902606195951457746e-01
4.197319356516459266e+03 9.935036849017717664e-01
4.197341184754594906e+03 9.967553774038198089e-01
4.197363013106250037e+03 9.888603713210005752e-01
4.197384841571422839e+03 9.903582464067043345e-01
4.197406670150116042e+03 9.879982406917315885e-01
4.197428498842327826e+03 9.931156256155269091e-01
4.197450327648060920e+03 9.941915067008956219e-01
4.197472156567315324e+03 9.927693616115819131e-01
4.197493985600091037e+03 9.982112932920396142e-01
4.197515814746388969e+03 9.913555201961847807e-01
4.197537644006210030e+03 9.959879302093417319e-01
4.197559473379555129e+03 9.917203634220400632e-01
4.197581302866423357e+03 9.878364027059959307e-01
4.197603132466816533e+03 9.934625070946015990e-01
4.197624962180734656e+03 9.913945444783203165e-01
4.197646792008179546e+03 9.881467945683911624e-01
4.197668621949150292e+03 9.919021384729022062e-01
4.197690452003647806e+03 9.872773193135522263e-01
4.197712282171672996e+03 9.945149666759820484e-01
4.197734112453226771e+03 9.894107911777727526e-01
4.197755942848309132e+03 9.851138037366917732e-01
4.197777773356920989e+03 9.879752094472630253e-01
4.197799603979062340e+03 9.851661725748268594e-01
4.197821434714735005e+03 9.909141601878770356e-01
4.197843265563938076e+03 9.909232157989750212e-01
4.197865096526673369e+03 9.912318384310020436e-01
4.197886927602940887e+03 9.830448082973600732e-01
4.197908758792740628e+03 9.832301741190869748e-01
4.197930590096074411e+03 9.888361142946238136e-01
4.197952421512943147e+03 9.839510224246835746e-01
4.197974253043345925e+03 9.848842646712442361e-01
4.197996084687283656e+03 9.852347876481907241e-01
4.198017916444757248e+03 9.826776622712209974e-01
4.198039748315767611e+03 9.866482177444171331e-01
4.198061580300314745e+03 9.909742788709436923e-01
4.198083412398400469e+03 9.867390608627440995e-01
4.198105244610022964e+03 9.852943684134816138e-01
4.198127076935185869e+03 9.830618072528419793e-01
4.198148909373887363e+03 9.813191419056982445e-01
4.198170741926128358e+03 9.884860251047562496e-01
4.198192574591910670e+03 9.838879736589705161e-01
4.198214407371234302e+03 9.782156306985796412e-01
4.198236240264099251e+03 9.803733493991353409e-01
4.198258073270506429e+03 9.803224289572531891e-01
4.198279906390456745e+03 9.799683394663293301e-01
4.198301739623951107e+03 9.786716022937443915e-01
4.198323572970988607e+03 9.782812907160896021e-01
4.198345406431571973e+03 9.783877265576511606e-01
4.198367240005700296e+03 9.832799943941243903e-01
4.198389073693373575e+03 9.792894686507729318e-01
4.198410907494594539e+03 9.791319866779523151e-01
4.198432741409362279e+03 9.797292222422743224e-01
4.198454575437677704e+03 9.808084671814241151e-01
4.198476409579540814e+03 9.754584058403777957e-01
4.198498243834953428e+03 9.728867938967598050e-01
4.198520078203915546e+03 9.745325872806575029e-01
4.198541912686427168e+03 9.789829277781052497e-01
4.198563747282490112e+03 9.768708487881887503e-01
4.198585581992104380e+03 9.729487115036483669e-01
4.198607416815269971e+03 9.698010008747591781e-01
4.198629251751987795e+03 9.744913592057170559e-01
4.198651086802258760e+03 9.735882629753592754e-01
4.198672921966083777e+03 9.739715564441032702e-01
4.198694757243461936e+03 9.688700319317962162e-01
4.198716592634395965e+03 9.755877235743902753e-01
4.198738428138884956e+03 9.730879929193723132e-01
4.198760263756929817e+03 9.737243826811269320e-01
4.198782099488531458e+03 9.721995051020265732e-01
4.198803935333689878e+03 9.672951645000114063e-01
4.198825771292405989e+03 9.705748358306688361e-01
4.198847607364680698e+03 9.691910316744715148e-01
4.198869443550514006e+03 9.619381320280140368e-01
4.198891279849907733e+03 9.660571389602212733e-01
4.198913116262860058e+03 9.720018384322866023e-01
4.198934952789374620e+03 9.669829041459335750e-01
4.198956789429449600e+03 9.737914417757973506e-01
4.198978626183085908e+03 9.676313492531356530e-01
4.199000463050285362e+03 9.631786976117002741e-01
4.199022300031047962e+03 9.604297888952926243e-01
4.199044137125373709e+03 9.590369528793106779e-01
4.199065974333264421e+03 9.650751196698716949e-01
4.199087811654719189e+03 9.622024725129122436e-01
4.199109649089739833e+03 9.697271148735353563e-01
4.199131486638326351e+03 9.616606830749360180e-01
4.199153324300479653e+03 9.697006116600930259e-01
4.199175162076199740e+03 9.615390687272992176e-01
4.199196999965487521e+03 9.586703782280967534e-01
4.199218837968343905e+03 9.560148706524446149e-01
4.199240676084768893e+03 9.609982193071017198e-01
4.199262514314763393e+03 9.597367704679161671e-01
4.199284352658328316e+03 9.584082071081956311e-01
4.199306191115464571e+03 9.575490249577935931e-01
4.199328029686171249e+03 9.529833680448112077e-01
4.199349868370450167e+03 9.546641000908197006e-01
4.199371707168301327e+03 9.564017035345061535e-01
4.199393546079725638e+03 9.548121779487865890e-01
4.199415385104724010e+03 9.502173411749512688e-01
4.199437224243296441e+03 9.489686945877781055e-01
4.199459063495443843e+03 9.513134358796973000e-01
4.199480902861166214e+03 9.532641913861720218e-01
4.199502742340464465e+03 9.503461804585006112e-01
4.199524581933340414e+03 9.523227984152247139e-01
4.199546421639792243e+03 9.519634150993859789e-01
4.199568261459822679e+03 9.523426412915377837e-01
4.199590101393431723e+03 9.523687491230425906e-01
4.199611941440619375e+03 9.503741793999529452e-01
4.199633781601386545e+03 9.516487583934233330e-01
4.199655621875734141e+03 9.525304721721712387e-01
4.199677462263662164e+03 9.467321136276134474e-01
4.199699302765171524e+03 9.422233049059279830e-01
4.199721143380263129e+03 9.458735167393876875e-01
4.199742984108936980e+03 9.480050171819164317e-01
4.199764824951193987e+03 9.482677592961338275e-01
4.199786665907035058e+03 9.481301463489523185e-01
4.199808506976460194e+03 9.489503549507467550e-01
4.199830348159470304e+03 9.524474255163171144e-01
4.199852189456065389e+03 9.476714877268080928e-01
4.199874030866247267e+03 9.438166581584925829e-01
4.199895872390015029e+03 9.430248091962128987e-01
4.199917714027370494e+03 9.407548151827669347e-01
4.199939555778314570e+03 9.482455481407539022e-01
4.199961397642846350e+03 9.440340552099955040e-01
4.199983239620966742e+03 9.397357582690786248e-01
4.200005081712677566e+03 9.395652937028525775e-01
4.200026923917977911e+03 9.387396698163155140e-01
4.200048766236869596e+03 9.405896247293030754e-01
4.200070608669351714e+03 9.496850573630407633e-01
4.200092451215426991e+03 9.483229962478403330e-01
4.200114293875094518e+03 9.412353294446224039e-01
4.200136136648354295e+03 9.416771218283169764e-01
4.200157979535209051e+03 9.410307450752538605e-01
4.200179822535657877e+03 9.421714111328314267e-01
4.200201665649700772e+03 9.451613769932871723e-01
4.200223508877340464e+03 9.445073788280218263e-01
4.200245352218575135e+03 9.383912252281118027e-01
4.200267195673407514e+03 9.378035636342217929e-01
4.200289039241836690e+03 9.380875748952502979e-01
4.200310882923863574e+03 9.360014674623701181e-01
4.200332726719489074e+03 9.415346604238675754e-01
4.200354570628714100e+03 9.437466041580083731e-01
4.200376414651537743e+03 9.406987214586763901e-01
4.200398258787962732e+03 9.446666367025314814e-01
4.200420103037988156e+03 9.436882826312569250e-01
4.200441947401614925e+03 9.392865111054381488e-01
4.200463791878843949e+03 9.366681690556292184e-01
4.200485636469675228e+03 9.352621806411316463e-01
4.200507481174109671e+03 9.409808659136447151e-01
4.200529325992148188e+03 9.399634029709582617e-01
4.200551170923790778e+03 9.398052475018220386e-01
4.200573015969038352e+03 9.348418083117371324e-01
4.200594861127891818e+03 9.373030441099307053e-01
4.200616706400352086e+03 9.440419980596425065e-01
4.200638551786418248e+03 9.428425213071257582e-01
4.200660397286091211e+03 9.361774957256925322e-01
4.200682242899372795e+03 9.382371548193227939e-01
4.200704088626263001e+03 9.403897518627282182e-01
4.200725934466762737e+03 9.394299199889483143e-01
4.200747780420871095e+03 9.437412787496269884e-01
4.200769626488590802e+03 9.445325457097979438e-01
4.200791472669920950e+03 9.441101577906702014e-01
4.200813318964862447e+03 9.454775506976608179e-01
4.200835165373416203e+03 9.506139773675112981e-01
4.200857011895582218e+03 9.489542308080168853e-01
4.200878858531361402e+03 9.417960613607766485e-01
4.200900705280754664e+03 9.412998121886902991e-01
4.200922552143762914e+03 9.424730869397964783e-01
4.200944399120385242e+03 9.487360309265818747e-01
4.200966246210624377e+03 9.508804719560965957e-01
4.200988093414478499e+03 9.562100484005401357e-01
4.201009940731950337e+03 9.492972491288398373e-01
4.201031788163038982e+03 9.546980991559299579e-01
4.201053635707745343e+03 9.470932671931262536e-01
4.201075483366071239e+03 9.496317937042972890e-01
4.201097331138015761e+03 9.495247633250096797e-01
4.201119179023579818e+03 9.471942635796037901e-01
4.201141027022764320e+03 9.593289864670890843e-01
4.201162875135570175e+03 9.553996768656830563e-01
4.201184723361997385e+03 9.532478369805192919e-01
4.201206571702045949e+03 9.589913258617634995e-01
4.201228420155717686e+03 9.570609127234820379e-01
4.201250268723013505e+03 9.586178847441247930e-01
4.201272117403932498e+03 9.611565278245242094e-01
4.201293966198475573e+03 9.632373647200527245e-01
4.201315815106644550e+03 9.588597421003393073e-01
4.201337664128438519e+03 9.531191405396791660e-01
4.201359513263859299e+03 9.576521768407900703e-01
4.201381362512906890e+03 9.560792723002208282e-01
4.201403211875581292e+03 9.573592140115204652e-01
4.201425061351884324e+03 9.617119644220698538e-01
4.201446910941815077e+03 9.639130206896726616e-01
4.201468760645376278e+03 9.614070272671405570e-01
4.201490610462566110e+03 9.574149435772626449e-01
4.201512460393387300e+03 9.629656799985165661e-01
4.201534310437838940e+03 9.668804678522026075e-01
4.201556160595921938e+03 9.606202878059403316e-01
4.201578010867638113e+03 9.638306322188066044e-01
4.201599861252985647e+03 9.689889873689527811e-01
4.201621711751967268e+03 9.698603905273726067e-01
4.201643562364582976e+03 9.727813444716507663e-01
4.201665413090832772e+03 9.682811118703693598e-01
4.201687263930718473e+03 9.684063056649865331e-01
4.201709114884239170e+03 9.732875917338993377e-01
4.201730965951395774e+03 9.698186162707067570e-01
4.201752817132190103e+03 9.672311185475269690e-01
4.201774668426622156e+03 9.652359473236440390e-01
4.201796519834691026e+03 9.731503218663807298e-01
4.201818371356399439e+03 9.702968967440066539e-01
4.201840222991747396e+03 9.729447673451011580e-01
4.201862074740733988e+03 9.780163136035874283e-01
4.201883926603361942e+03 9.789861634131385992e-01
4.201905778579630351e+03 9.746687237838199680e-01
4.201927630669541031e+03 9.790758976953689574e-01
4.201949482873093984e+03 9.808719630447418902e-01
4.201971335190289210e+03 9.795022323383059115e-01
4.201993187621127618e+03 9.761265428664795962e-01
4.202015040165610117e+03 9.753208289405281839e-01
4.202036892823737617e+03 9.748796603896875412e-01
4.202058745595510118e+03 9.789207067116126870e-01
4.202080598480928529e+03 9.751193850718371525e-01
4.202102451479992851e+03 9.754581807118728465e-01
4.202124304592704902e+03 9.809514103952433617e-01
4.202146157819063774e+03 9.826529803543355701e-01
4.202168011159070375e+03 9.827321540726344784e-01
4.202189864612726524e+03 9.818360562104535560e-01
4.202211718180031312e+03 9.822662983959215000e-01
4.202233571860986558e+03 9.855740546101615651e-01
4.202255425655592262e+03 9.900719286517133400e-01
4.202277279563848424e+03 9.768731986294607594e-01
4.202299133585756863e+03 9.811846821929902651e-01
4.202320987721317579e+03 9.805801299581180519e-01
4.202342841970530571e+03 9.809999718399308177e-01
4.202364696333397660e+03 9.782498110339854502e-01
4.202386550809917935e+03 9.829099481901407698e-01
4.202408405400093216e+03 9.913448568461745714e-01
4.202430260103924411e+03 9.891387026387228332e-01
4.202452114921410612e+03 9.988632703458323325e-01
4.202473969852553637e+03 9.870644508067145662e-01
4.202495824897352577e+03 9.868400595443078682e-01
4.202517680055810160e+03 9.814957053757632499e-01
4.202539535327925478e+03 9.817061047662446471e-01
4.202561390713700348e+03 9.932917148561500875e-01
4.202583246213133862e+03 9.948202249128627050e-01
4.202605101826226928e+03 9.939994133581773195e-01
4.202626957552981366e+03 9.913624283640731782e-01
4.202648813393396267e+03 9.895992725753623986e-01
4.202670669347473449e+03 9.935566909741869734e-01
4.202692525415212003e+03 9.951623375260150173e-01
4.202714381596614658e+03 9.894065684325206167e-01
4.202736237891679593e+03 9.830892375747857237e-01
4.202758094300409539e+03 9.883577050808306508e-01
4.202779950822803585e+03 9.894803544026090636e-01
4.202801807458863550e+03 9.844651729255645689e-01
4.202823664208588525e+03 9.937338876984388447e-01
4.202845521071980329e+03 9.974305472617766011e-01
4.202867378049039871e+03 9.905083942527074248e-01
4.202889235139766242e+03 9.872225883233840538e-01
4.202911092344160352e+03 9.901619534365989628e-01
4.202932949662224019e+03 9.958470392571836527e-01
4.202954807093957243e+03 9.988384664413710867e-01
4.202976664639360024e+03 9.974418570014067509e-01
4.202998522298433272e+03 9.914615173895656719e-01
4.203020380071177897e+03 9.937557727133590202e-01
4.203042237957593898e+03 9.967900650844389032e-01
4.203064095957683094e+03 9.946579210262835868e-01
4.203085954071444576e+03 9.900878356426157101e-01
4.203107812298880162e+03 9.897500346191493437e-01
4.203129670639988944e+03 9.871397739645156877e-01
4.203151529094772741e+03 9.938686497297740674e-01
4.203173387663232461e+03 9.927304939886085755e-01
4.203195246345367195e+03 9.965160571279496615e-01
4.203217105141179673e+03 1.001259499587283885e+00
4.203238964050668073e+03 9.884055280320754866e-01
4.203260823073834217e+03 9.912692505985835068e-01
4.203282682210679013e+03 9.957862424159547032e-01
4.203304541461202462e+03 9.896770691288859778e-01
4.203326400825405472e+03 9.966265676887494651e-01
4.203348260303288953e+03 1.000173792883002566e+00
4.203370119894852905e+03 9.953080305535304539e-01
4.203391979600097329e+03 9.969460669615800574e-01
4.203413839419024043e+03 9.931258637545959944e-01
4.203435699351633048e+03 9.914619312860895040e-01
4.203457559397925252e+03 9.942983098100574013e-01
4.203479419557900655e+03 9.946483221525922458e-01
4.203501279831561078e+03 9.949939754925634094e-01
4.203523140218905610e+03 1.002324411955848538e+00
4.203545000719935160e+03 9.958602484276367628e-01
4.203566861334651549e+03 9.922173083535064109e-01
4.203588722063053865e+03 9.956284322545964072e-01
4.203610582905143019e+03 9.973161358205915317e-01
4.203632443860919921e+03 9.955187810521692882e-01
4.203654304930386388e+03 9.905336607164474394e-01
4.203676166113540603e+03 9.872024306439675101e-01
4.203698027410384384e+03 9.934742786815811133e-01
4.203719888820918641e+03 9.943816206233256905e-01
4.203741750345143373e+03 9.946367466473369223e-01
4.203763611983059491e+03 9.944599835284801959e-01
4.203785473734666994e+03 9.930628770821705587e-01
