# star name zetOri, line HEII5411
# instrument: HERMES spectrograph @Mercator
# date of observation (midpoint)2018-10-13T03:33:45.835896
# BJD of observation (midpoint)2458404.6506721
# name of fits file: 00897892_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits
# 
# wavelength(Angstrom,air) normalised_flux
5.390018255721892274e+03 9.956142927530861053e-01
5.390046286613051961e+03 9.944080328296870386e-01
5.390074317649987279e+03 1.001548315138438339e+00
5.390102348832698226e+03 1.002268154027389446e+00
5.390130380161185712e+03 9.988795749367593846e-01
5.390158411635450648e+03 1.001564566147629787e+00
5.390186443255493032e+03 9.974482613277378951e-01
5.390214475021315593e+03 9.968974059107138519e-01
5.390242506932917422e+03 9.981463489517795606e-01
5.390270538990299428e+03 1.006603675496466233e+00
5.390298571193463431e+03 1.003525786529037234e+00
5.390326603542408520e+03 9.985545574334350194e-01
5.390354636037137425e+03 9.990801152230277538e-01
5.390382668677649235e+03 9.979815783210399527e-01
5.390410701463944861e+03 9.980233077476996506e-01
5.390438734396026121e+03 1.000072008427503656e+00
5.390466767473893015e+03 9.985315724481670374e-01
5.390494800697546452e+03 9.957583459257713931e-01
5.390522834066987343e+03 9.963539751268903899e-01
5.390550867582215687e+03 9.974993407345306151e-01
5.390578901243233304e+03 9.966382493304659640e-01
5.390606935050041102e+03 9.974344076178159879e-01
5.390634969002638172e+03 1.000827292752996867e+00
5.390663003101027243e+03 1.000496325963216027e+00
5.390691037345207405e+03 9.959387614322535720e-01
5.390719071735180478e+03 9.968513064455062356e-01
5.390747106270947370e+03 9.999504524485768320e-01
5.390775140952508082e+03 9.970798504370851356e-01
5.390803175779863523e+03 9.969851121435081565e-01
5.390831210753014602e+03 9.969340658387716436e-01
5.390859245871962230e+03 9.960771565683518292e-01
5.390887281136707315e+03 1.002146913727532729e+00
5.390915316547249859e+03 9.988921045185954473e-01
5.390943352103590769e+03 1.000571750783605829e+00
5.390971387805731865e+03 1.001798725314196004e+00
5.390999423653673148e+03 1.003188977127031700e+00
5.391027459647414616e+03 9.942216296897938843e-01
5.391055495786958090e+03 1.001479283502149986e+00
5.391083532072304479e+03 9.967402340309584607e-01
5.391111568503453782e+03 9.972660658094281150e-01
5.391139605080406909e+03 9.992749838348546909e-01
5.391167641803164770e+03 9.954127050249323982e-01
5.391195678671729183e+03 9.977127682043951395e-01
5.391223715686098330e+03 9.992280694167965382e-01
5.391251752846275849e+03 1.001271150386389808e+00
5.391279790152259920e+03 9.969715604884393789e-01
5.391307827604053273e+03 9.978883994937876034e-01
5.391335865201655906e+03 1.001616290041910773e+00
5.391363902945067821e+03 1.001818282284327566e+00
5.391391940834291745e+03 9.997969699035653690e-01
5.391419978869326769e+03 1.000425676747259018e+00
5.391448017050173803e+03 1.001284190163234333e+00
5.391476055376833756e+03 1.001958173588659351e+00
5.391504093849308447e+03 1.001053077371069078e+00
5.391532132467596966e+03 1.001771767855559103e+00
5.391560171231701133e+03 9.999037808021242757e-01
5.391588210141620948e+03 9.960829260535642993e-01
5.391616249197358229e+03 9.979913068989093583e-01
5.391644288398912977e+03 9.976743205063856035e-01
5.391672327746286101e+03 9.956468102144998555e-01
5.391700367239478510e+03 9.993500615093957595e-01
5.391728406878491114e+03 9.985835799903890475e-01
5.391756446663323914e+03 9.962637523029583830e-01
5.391784486593977817e+03 1.000236321723050326e+00
5.391812526670454645e+03 9.968477009703449188e-01
5.391840566892753486e+03 9.989087342053940555e-01
5.391868607260877070e+03 1.000405312994435914e+00
5.391896647774824487e+03 9.987618956171097073e-01
5.391924688434597556e+03 9.991812334102856408e-01
5.391952729240196277e+03 9.974871883629318203e-01
5.391980770191621559e+03 9.999256963814547872e-01
5.392008811288875222e+03 1.000282829485675595e+00
5.392036852531956356e+03 1.000410259632756205e+00
5.392064893920866780e+03 9.980485096842172110e-01
5.392092935455606494e+03 1.000411161794260817e+00
5.392120977136177316e+03 1.002493576567073053e+00
5.392149018962579248e+03 9.974876100106837562e-01
5.392177060934813198e+03 1.003201471939934475e+00
5.392205103052879167e+03 1.001151829492803902e+00
5.392233145316779883e+03 9.981289788776127603e-01
5.392261187726514436e+03 1.001261508971128089e+00
5.392289230282083736e+03 1.002017907746604708e+00
5.392317272983489602e+03 9.996784428698080038e-01
5.392345315830732034e+03 1.001827428051976998e+00
5.392373358823811031e+03 9.977738684906182209e-01
5.392401401962728414e+03 9.962739084877852980e-01
5.392429445247485091e+03 1.000872785965218670e+00
5.392457488678081063e+03 1.000286273303610640e+00
5.392485532254518148e+03 1.001048880347891634e+00
5.392513575976795437e+03 9.981390473460761692e-01
5.392541619844914749e+03 9.940070573382364660e-01
5.392569663858876993e+03 9.993921042741673588e-01
5.392597708018683079e+03 1.002375608757920977e+00
5.392625752324332097e+03 9.985190287262364350e-01
5.392653796775826777e+03 9.951535919625280613e-01
5.392681841373168027e+03 9.985913050608735686e-01
5.392709886116354028e+03 9.961922630582868976e-01
