# star name zetOri, line HGAMMA
# instrument: HERMES spectrograph @Mercator
# date: AVERAGE of observations from October 2018
# 
# wavelength(Angstrom,air) normalised_flux
4.306010153444338357e+03 1.000901381009668079e+00
4.306032546931005527e+03 1.003289935527620802e+00
4.306054940534129855e+03 9.944209076285581705e-01
4.306077334253712252e+03 9.952001477422108833e-01
4.306099728089754535e+03 9.988944635920068427e-01
4.306122122042255796e+03 1.003487878671128986e+00
4.306144516111217854e+03 1.001013914950610317e+00
4.306166910296639799e+03 1.001656770039912603e+00
4.306189304598524359e+03 9.966082348712295147e-01
4.306211699016869716e+03 9.930663684349456677e-01
4.306234093551678598e+03 1.003599868586809274e+00
4.306256488202950095e+03 1.003351556536157041e+00
4.306278882970685117e+03 9.972500828123187500e-01
4.306301277854884574e+03 1.003308930293673296e+00
4.306323672855549376e+03 1.000093660555724906e+00
4.306346067972680430e+03 9.994941454254394619e-01
4.306368463206276829e+03 1.004497150920963700e+00
4.306390858556340390e+03 9.977551163321702887e-01
4.306413254022871115e+03 1.000515317533201332e+00
4.306435649605869912e+03 1.005697591821320458e+00
4.306458045305337691e+03 9.980266833570979879e-01
4.306480441121274453e+03 1.006187253776168244e+00
4.306502837053682015e+03 1.000951873285106597e+00
4.306525233102558559e+03 1.004151797122583067e+00
4.306547629267906814e+03 9.942844644856502212e-01
4.306570025549726779e+03 1.001361287340077455e+00
4.306592421948019364e+03 1.006522626029487499e+00
4.306614818462784569e+03 1.000484625343543987e+00
4.306637215094023304e+03 1.002302729587125185e+00
4.306659611841735568e+03 9.967728781818206985e-01
4.306682008705923181e+03 9.998841371326880889e-01
4.306704405686586142e+03 9.975452196774274860e-01
4.306726802783724452e+03 9.961850020427297503e-01
4.306749199997339929e+03 9.987721169672341137e-01
4.306771597327432573e+03 1.001590286562353382e+00
4.306793994774002385e+03 9.948749083926313741e-01
4.306816392337051184e+03 1.001218509544493651e+00
4.306838790016578059e+03 1.004158999779935613e+00
4.306861187812584831e+03 1.001539874551048870e+00
4.306883585725072408e+03 1.002002381547752341e+00
4.306905983754039880e+03 1.004617468432862593e+00
4.306928381899489068e+03 1.001511197141528697e+00
4.306950780161419971e+03 1.002898478905579482e+00
4.306973178539834407e+03 1.005803097944272029e+00
4.306995577034731468e+03 1.002522559239411137e+00
4.307017975646112063e+03 1.001808992514713559e+00
4.307040374373977102e+03 1.001982435371100211e+00
4.307062773218327493e+03 1.001641488630922616e+00
4.307085172179163237e+03 1.001128973924650722e+00
4.307107571256485244e+03 1.002000898993748557e+00
4.307129970450293513e+03 1.006700766327000451e+00
4.307152369760589863e+03 1.005677803475512722e+00
4.307174769187374295e+03 1.003567329519383433e+00
4.307197168730646808e+03 9.935143916243956985e-01
4.307219568390409222e+03 1.002438657427624724e+00
4.307241968166661536e+03 1.000999585506944900e+00
4.307264368059403751e+03 9.982209112231541503e-01
4.307286768068637684e+03 9.955997693475555632e-01
4.307309168194362428e+03 9.959785502377108690e-01
4.307331568436579801e+03 9.997407081431468612e-01
4.307353968795289802e+03 9.996274228031982734e-01
4.307376369270494251e+03 1.000707525228668793e+00
4.307398769862192239e+03 1.000206946896746274e+00
4.307421170570384675e+03 1.003744987643493181e+00
4.307443571395072468e+03 1.000221040390773419e+00
4.307465972336256527e+03 1.006567649843644885e+00
4.307488373393936854e+03 1.002652922080985887e+00
4.307510774568114357e+03 9.970485666428976490e-01
4.307533175858789036e+03 9.980412831644096538e-01
4.307555577265962711e+03 1.003202310625868288e+00
4.307577978789635381e+03 1.000103977699252855e+00
4.307600380429807046e+03 9.976495744893401074e-01
4.307622782186479526e+03 9.962550492733723839e-01
4.307645184059652820e+03 9.978970229075925236e-01
4.307667586049326928e+03 1.000973528582679295e+00
4.307689988155502760e+03 1.001043290691933763e+00
4.307712390378182135e+03 1.002459318051597492e+00
4.307734792717364144e+03 1.001630152871618495e+00
4.307757195173049695e+03 9.984860921641043330e-01
4.307779597745239698e+03 9.984894865960114441e-01
4.307802000433935063e+03 1.002855610813897291e+00
4.307824403239135790e+03 9.910871910874190505e-01
4.307846806160842789e+03 9.987323850193144947e-01
4.307869209199056058e+03 1.002110494944665087e+00
4.307891612353777418e+03 9.946787450803655783e-01
4.307914015625006869e+03 9.931569003463307510e-01
4.307936419012745318e+03 1.004438715310189023e+00
4.307958822516991859e+03 9.980670132779035919e-01
4.307981226137749218e+03 9.975301575096615636e-01
4.308003629875016486e+03 9.980095050391650791e-01
4.308026033728794573e+03 9.935839093213792994e-01
4.308048437699085298e+03 1.001411244601161377e+00
4.308070841785887751e+03 9.994258585937370043e-01
4.308093245989202842e+03 9.971077168836324223e-01
4.308115650309031480e+03 1.003098274557883585e+00
4.308138054745374575e+03 9.977128136880930587e-01
4.308160459298232126e+03 9.953882136972079797e-01
4.308182863967605044e+03 1.001335348303465045e+00
4.308205268753493328e+03 1.000497347345433274e+00
4.308227673655898798e+03 1.003050598941808591e+00
4.308250078674820543e+03 9.966960594961610242e-01
4.308272483810261292e+03 9.875003412062248742e-01
4.308294889062219227e+03 9.951449536680105901e-01
4.308317294430697075e+03 9.958085705609013294e-01
4.308339699915693927e+03 1.003857470884195413e+00
4.308362105517210694e+03 1.003513054641512303e+00
4.308384511235248283e+03 1.006609462603845762e+00
4.308406917069807605e+03 1.001191421971620255e+00
4.308429323020888660e+03 9.981043286509450052e-01
4.308451729088492357e+03 1.007161623531039440e+00
4.308474135272619606e+03 1.004313469174834550e+00
4.308496541573269496e+03 1.002366272191354657e+00
4.308518947990444758e+03 1.001912167829972500e+00
4.308541354524145390e+03 9.961914391248694045e-01
4.308563761174370484e+03 9.974836158931632557e-01
4.308586167941122767e+03 1.004150923799890904e+00
4.308608574824401330e+03 1.000863129431079690e+00
4.308630981824207083e+03 9.990209363377152707e-01
4.308653388940540935e+03 9.952993778894029253e-01
4.308675796173403796e+03 9.979044088923053613e-01
4.308698203522795666e+03 1.002111891948474609e+00
4.308720610988717453e+03 1.003234091620988977e+00
4.308743018571170069e+03 9.972675417853441582e-01
4.308765426270152602e+03 9.917623543385419849e-01
4.308787834085667782e+03 9.974774943275510619e-01
4.308810242017714700e+03 9.947051712217112041e-01
4.308832650066295173e+03 1.009356118613886855e+00
4.308855058231409203e+03 9.990335416403566260e-01
4.308877466513056788e+03 1.005795131408660836e+00
4.308899874911238840e+03 1.002984702504876147e+00
4.308922283425956266e+03 1.003788683113226998e+00
4.308944692057209977e+03 1.004543046448389543e+00
4.308967100804999973e+03 1.001269172393604912e+00
4.308989509669327163e+03 9.918098431647620616e-01
4.309011918650191546e+03 9.999892330953032982e-01
4.309034327747594944e+03 9.979203152705056201e-01
4.309056736961537354e+03 9.973210104728907899e-01
4.309079146292018777e+03 1.001238392668345245e+00
4.309101555739041032e+03 9.996913215876840342e-01
4.309123965302603210e+03 9.960905496610686916e-01
4.309146374982707130e+03 9.975201713330762443e-01
4.309168784779352791e+03 9.932572859435864210e-01
4.309191194692541103e+03 9.930589233907535229e-01
4.309213604722272976e+03 1.004288345167284602e+00
4.309236014868548409e+03 1.003539257764859194e+00
4.309258425131368313e+03 9.995497825852379670e-01
4.309280835510732686e+03 1.002120641428521974e+00
4.309303246006643349e+03 1.003095487517894790e+00
4.309325656619099391e+03 1.001066865056513988e+00
4.309348067348103541e+03 1.002513344429587727e+00
4.309370478193653980e+03 1.003855720805196805e+00
4.309392889155752528e+03 1.001868358330736397e+00
4.309415300234400092e+03 9.961256784782737128e-01
4.309437711429596675e+03 9.964275969196199068e-01
4.309460122741343184e+03 9.985154280810443206e-01
4.309482534169640530e+03 9.977503179029713065e-01
4.309504945714488713e+03 9.997065453386064782e-01
4.309527357375888641e+03 9.996181565051428519e-01
4.309549769153840316e+03 1.001235651790147285e+00
4.309572181048344646e+03 1.000304169315986424e+00
4.309594593059403451e+03 9.954375298275101036e-01
4.309617005187015820e+03 9.948821470815520929e-01
4.309639417431182665e+03 9.991313738060393357e-01
4.309661829791904893e+03 9.979113303113825717e-01
4.309684242269183414e+03 1.000823938085252385e+00
4.309706654863018230e+03 1.002934796565537967e+00
4.309729067573410248e+03 9.958263215460562146e-01
4.309751480400359469e+03 9.985192329552061707e-01
4.309773893343867712e+03 9.938186250272137423e-01
4.309796306403934977e+03 1.000764279325355721e+00
4.309818719580561265e+03 1.000270861151561386e+00
4.309841132873747483e+03 9.959180193486045773e-01
4.309863546283494543e+03 1.004066067505774873e+00
4.309885959809803353e+03 1.006860229359781922e+00
4.309908373452673914e+03 1.004836898040606163e+00
4.309930787212107134e+03 1.006453798281694345e+00
4.309953201088103924e+03 1.006153316329348790e+00
4.309975615080664284e+03 9.949873477441185665e-01
4.309998029189788213e+03 9.991809456903809616e-01
4.310020443415478439e+03 1.006528366362385629e+00
4.310042857757733145e+03 1.000960135518840222e+00
4.310065272216555059e+03 9.998676494446162577e-01
4.310087686791943270e+03 1.000554083386268722e+00
4.310110101483898688e+03 1.005160874292722939e+00
4.310132516292422224e+03 1.005136470831798245e+00
4.310154931217514786e+03 9.992017289856737206e-01
4.310177346259176375e+03 9.979739733831042292e-01
4.310199761417406989e+03 9.982157644865418122e-01
4.310222176692209359e+03 1.006840542481943990e+00
4.310244592083581665e+03 1.004780899059374732e+00
4.310267007591526635e+03 1.006398726029826607e+00
4.310289423216043360e+03 1.000344678202620852e+00
4.310311838957132750e+03 9.993671991546384525e-01
4.310334254814795713e+03 1.000914728622913863e+00
4.310356670789033160e+03 9.958819534012881558e-01
4.310379086879845090e+03 9.940535129356747879e-01
4.310401503087232413e+03 1.001182630984721822e+00
4.310423919411196039e+03 1.005901413798429012e+00
4.310446335851735057e+03 9.999560262777856812e-01
4.310468752408852197e+03 9.927137773305692026e-01
4.310491169082546548e+03 9.977935669256579043e-01
4.310513585872819021e+03 9.961967815938645998e-01
4.310536002779671435e+03 1.000373155784292312e+00
4.310558419803102879e+03 1.003067736365025109e+00
4.310580836943114264e+03 9.983488477512909576e-01
4.310603254199706498e+03 9.998638935401986672e-01
4.310625671572879583e+03 9.931851707466776702e-01
4.310648089062635336e+03 9.971931143420398325e-01
4.310670506668973758e+03 1.002523830552074058e+00
4.310692924391894849e+03 1.000133643187740562e+00
4.310715342231399518e+03 1.002749993170045428e+00
4.310737760187489584e+03 1.000011545616446007e+00
4.310760178260164139e+03 9.997553520394537596e-01
4.310782596449424091e+03 9.941568973360871420e-01
4.310805014755270349e+03 9.980239143765395893e-01
4.310827433177703824e+03 9.997913570374900027e-01
4.310849851716724515e+03 1.002080597420681451e+00
4.310872270372332423e+03 1.002668289132770063e+00
4.310894689144530275e+03 9.947971904769152829e-01
4.310917108033316254e+03 9.981182680637781246e-01
4.310939527038693086e+03 9.954853170845067156e-01
4.310961946160659863e+03 9.976440551740333174e-01
4.310984365399217495e+03 9.935153436282863071e-01
4.311006784754366890e+03 9.973203527780704070e-01
4.311029204226108959e+03 9.941859199238671785e-01
4.311051623814443701e+03 1.000126685477514821e+00
4.311074043519372026e+03 1.002219238616231189e+00
4.311096463340893933e+03 9.962924510916904008e-01
4.311118883279011243e+03 9.987251752374606273e-01
4.311141303333723044e+03 1.002493832476649249e+00
4.311163723505031157e+03 1.001431453486338441e+00
4.311186143792936491e+03 9.923115737983226881e-01
4.311208564197438136e+03 9.991974915437603633e-01
4.311230984718537911e+03 1.002587345226749083e+00
4.311253405356235817e+03 9.988588963120238473e-01
4.311275826110532762e+03 1.001046901800796363e+00
4.311298246981428747e+03 9.999169379856633899e-01
4.311320667968925591e+03 9.983528217118108339e-01
4.311343089073023293e+03 9.980897791739148373e-01
4.311365510293721854e+03 9.985513474039755533e-01
4.311387931631022184e+03 9.977558843719006587e-01
4.311410353084926101e+03 9.985842841821682692e-01
4.311432774655432695e+03 9.938793909331578025e-01
4.311455196342542877e+03 9.977290606113683458e-01
4.311477618146257555e+03 1.000660280298627525e+00
4.311500040066576730e+03 1.003096902270323110e+00
4.311522462103502221e+03 9.997687064497565723e-01
4.311544884257034028e+03 1.004936248689749512e+00
4.311567306527172150e+03 9.943692931832364135e-01
4.311589728913918407e+03 9.924533201026007889e-01
4.311612151417271889e+03 1.003863835430333751e+00
4.311634574037234415e+03 1.008185911214934283e+00
4.311656996773805986e+03 1.002873135310440089e+00
4.311679419626988420e+03 9.932193467584345958e-01
4.311701842596779898e+03 9.988153475448402485e-01
4.311724265683183148e+03 1.004205555413047124e+00
4.311746688886198172e+03 9.960384672320644617e-01
4.311769112205824968e+03 9.910137815911073123e-01
4.311791535642065355e+03 9.915467809285145595e-01
4.311813959194919335e+03 9.982721930098003016e-01
4.311836382864386906e+03 1.001582861521580048e+00
4.311858806650468978e+03 9.953440347599514793e-01
4.311881230553166461e+03 9.934943260088190398e-01
4.311903654572480264e+03 1.005841863780464696e+00
4.311926078708410387e+03 1.002144372464814026e+00
4.311948502960957740e+03 1.002200907426462617e+00
4.311970927330122322e+03 1.000245642237631127e+00
4.311993351815905953e+03 9.983945525137997157e-01
4.312015776418308633e+03 9.986926826072739516e-01
4.312038201137330361e+03 1.002657474711942998e+00
4.312060625972972048e+03 1.001837322285380472e+00
4.312083050925235511e+03 9.950894332394087938e-01
4.312105475994119843e+03 9.986850727808606054e-01
4.312127901179625951e+03 1.001314064571398488e+00
4.312150326481754746e+03 9.953314075696136909e-01
4.312172751900507137e+03 9.904127267258037159e-01
4.312195177435882215e+03 9.953881945071176851e-01
4.312217603087882708e+03 9.978672244005645231e-01
4.312240028856508616e+03 9.983971438368431928e-01
4.312262454741759029e+03 9.955524586455383185e-01
4.312284880743636677e+03 9.928334155715978770e-01
4.312307306862140649e+03 9.904798140446755550e-01
4.312329733097271856e+03 1.008716507293394793e+00
4.312352159449031205e+03 9.999418202314412918e-01
4.312374585917419608e+03 9.968222405236687456e-01
4.312397012502437065e+03 9.965165098919028797e-01
4.312419439204084483e+03 9.963946394979025234e-01
4.312441866022361864e+03 9.979226715022718741e-01
4.312464292957271027e+03 9.982944641305172562e-01
4.312486720008811972e+03 9.958947375900729648e-01
4.312509147176984698e+03 9.960027328028556726e-01
4.312531574461790115e+03 9.924807850680165133e-01
4.312554001863230042e+03 9.982542752484455661e-01
4.312576429381302660e+03 9.970496395823403857e-01
4.312598857016011607e+03 1.001318192500823212e+00
4.312621284767355064e+03 1.000518308608163487e+00
4.312643712635333941e+03 9.898859352290672042e-01
4.312666140619950056e+03 9.954514845280835189e-01
4.312688568721203410e+03 1.003553449167228884e+00
