# star name zetOri, line HGAMMA
# instrument: HERMES spectrograph @Mercator
# date of observation (midpoint)2018-10-15T01:01:48.581460
# BJD of observation (midpoint)2458406.5453007
# name of fits file: 00898143_HRF_OBJ_ext_CosmicsRemoved_log_merged_c.fits
# 
# wavelength(Angstrom,air) normalised_flux
4.306010153444338357e+03 1.005377977367040376e+00
4.306032546931005527e+03 1.009729798584452221e+00
4.306054940534129855e+03 1.003940882399834589e+00
4.306077334253712252e+03 1.001241296396542912e+00
4.306099728089754535e+03 1.003902932240283263e+00
4.306122122042255796e+03 9.976306421636123023e-01
4.306144516111217854e+03 9.955443981936078490e-01
4.306166910296639799e+03 9.930080529005851364e-01
4.306189304598524359e+03 9.987436375717250181e-01
4.306211699016869716e+03 1.000520372667078384e+00
4.306234093551678598e+03 1.000566634676964606e+00
4.306256488202950095e+03 1.000762436600450611e+00
4.306278882970685117e+03 9.966791014213433053e-01
4.306301277854884574e+03 1.003242359466009148e+00
4.306323672855549376e+03 9.949972419248002131e-01
4.306346067972680430e+03 1.000116343903177496e+00
4.306368463206276829e+03 1.000402823722237544e+00
4.306390858556340390e+03 1.008110893972857136e+00
4.306413254022871115e+03 1.004715672008877902e+00
4.306435649605869912e+03 9.981616790857352761e-01
4.306458045305337691e+03 1.002769072294153130e+00
4.306480441121274453e+03 1.001839199141979497e+00
4.306502837053682015e+03 1.004836940218508445e+00
4.306525233102558559e+03 9.958716993530583039e-01
4.306547629267906814e+03 9.970356223114033023e-01
4.306570025549726779e+03 9.988201582214533136e-01
4.306592421948019364e+03 1.001758524779827075e+00
4.306614818462784569e+03 1.003782094195223573e+00
4.306637215094023304e+03 1.000513262656175462e+00
4.306659611841735568e+03 1.002209634672093008e+00
4.306682008705923181e+03 1.009201752924949069e+00
4.306704405686586142e+03 1.002956209623157458e+00
4.306726802783724452e+03 9.973130898069800798e-01
4.306749199997339929e+03 1.000384353128333181e+00
4.306771597327432573e+03 1.001104927993064830e+00
4.306793994774002385e+03 9.966091741620165534e-01
4.306816392337051184e+03 1.003087686380323307e+00
4.306838790016578059e+03 1.008204347378591326e+00
4.306861187812584831e+03 1.003226907405243784e+00
